contract_number,county,project_description,project_length,project_length_unit
CNW225,MONTGOMERY,"THE INSTALLATION OF A NEW 40' X 120' COVERED SALT BIN, ROOF ONLY, LOCATED AT 1918 WILMA RUDOLPH BOULEVARD IN CLARKSVILLE.",0,MILES
CNW218,OVERTON,THE REPAIR OF THE BRIDGE ON S.R. 293 OVER BRANCH (L.M. 3.67).,0,MILES
CNW215,OVERTON AND PUTNAM,"THE RESURFACING ON S.R. 164 FROM WEST OF HASSLER ROAD TO WEST OF ROGER NORROD LANE AND ON U.S. 70 (S.R. 24) FROM NEAR I-40 TO THE CUMBERLAND COUNTY LINE, INCLUDING BRIDGE EXPANSION JOINT REPAIR.",8.81,MILES
CNW247,SHELBY,THE RESURFACING ON S.R. 57 FROM S.R. 277 (L.M. 1.22) TO HOLMES STREET (L.M. 3.06).,1.84,MILES
CNW217,SMITH,THE INSTALLATION OF SIGNALS ON S.R. 53 AT THE I-40 EB AND WB RAMPS (L.M. 11.45).,0.195,MILES
CNW214,WARREN,THE RESURFACING ON S.R. 8 FROM NORTH OF WILDWOOD ROAD (L.M. 4.33) TO NORTH OF LAWRENCE LANE (L.M. 7.70).,3.37,MILES
CNW216,WEAKLEY,THE RESURFACING ON S.R. 54 FROM THOMPSON CREEK ROAD (L.M. 17.40) TO PLATT ROAD (L.M. 22.14).,4.74,MILES
CNW233,WHITE,THE RESURFACING ON U.S. 70 (S.R. 1) FROM NEAR COUNTRY CLUB ROAD (L.M. 13.10) TO NEAR COROLLA ROAD (L.M. 16.15) AND ON U.S. 70S (S.R. 111) FROM THE END OF THE UNDERPASS BRIDGE (L.M. 6.99) TO FRED HILL ROAD (L.M. 7.32).,3.38,MILES
CNW228,WHITE,THE SIGNAL UPGRADES ON U.S. AND STATE ROUTES AT VARIOUS INTERSECTIONS IN SPARTA.,0,MILES
CNW915,"DAVIDSON, MONTGOMERY, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW914,SHELBY,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
DB2101,HAMILTON,"I-75 INTERCHANGE MODIFICATION AT I-24, PHASE 2 (IA)",4.827,MILES
CNW907,"CHEATHAM, DAVIDSON, DICKSON, AND WILLIAMSON",THE EXPANSION OF THE SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) ON I-40 FROM NEAR I-840 IN DICKSON COUNTY (L.M. 11.40) TO NEAR U.S. 70S (EXIT 196) IN DAVIDSON COUNTY (L.M. 5.10).,21.8,MILES
CNW908,SULLIVAN,THE RESURFACING ON S.R. 93 FROM NEAR U.S. 11W (S.R. 1) (L.M. 11.33) TO THE VIRGINIA STATE LINE (L.M. 15.28).,3.92,MILES
CNW909,TROUSDALE,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON S.R. 10/S.R. 25 AT S.R. 141/HALLTOWN ROAD IN HARTSVILLE, AND MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 141 FROM SLEEPY HOLLOW LANE (L.M. 3.47) TO S.R. 10/S.R. 25 (L.M. 4.23).",0.96,MILES
CNW114,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE RANDOM ON-CALL ATTENUATOR REPAIR ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW116,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE ON-CALL GUARDRAIL REPAIR AND NEW GUARDRAIL INSTALLATION ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW103,"ANDERSON, CUMBERLAND, JEFFERSON, KNOX, SULLIVAN, AND WASHINGTON",THE LIFE CYCLE REPLACEMENT OF DYNAMIC MESSAGE SIGNS (DMS) ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW119,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",THE RANDOM ON-CALL ATTENUATOR REPAIR ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW118,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",THE ON-CALL GUARDRAIL REPAIR AND NEW GUARDRAIL INSTALLATION ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW135,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",THE RANDOM ON-CALL ATTENUATOR REPAIR ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW122,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, GIBSON, HARDEMAN, HARDIN, HAYWOOD, HENDERSON, HENRY,
LAKE, MADISON, MCNAIRY, OBION, AND WEAKLEY",THE ON-CALL GUARDRAIL REPAIR AND NEW GUARDRAIL INSTALLATION ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW120,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE RANDOM ON-CALL ATTENUATOR REPAIR ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW127,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE ON-CALL GUARDRAIL REPAIR AND NEW GUARDRAIL INSTALLATION ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW124,BLEDSOE AND RHEA,THE RESURFACING ON S.R. 443 IN BLEDSOE COUNTY FROM S.R. 30 (L.M. 0.00) TO NEAR NEW HARMONY ROAD (L.M. 3.93) AND IN RHEA COUNTY FROM THE BLEDSOE COUNTY LINE (L.M. 0.00) TO S.R. 30 (L.M. 6.87).,10.8,MILES
CNW105,BRADLEY AND HAMILTON,THE MICROSURFACING ON S.R. 312 FROM EAST OF S.R. 58 (L.M. 14.30) IN HAMILTON COUNTY TO WEST OF WHITE OAK ROAD (L.M. 4.77) IN BRADLEY COUNTY.,8.21,MILES
CNW107,COCKE,THE RESURFACING ON S.R. 340 FROM U.S. 321 (S.R. 9) (L.M. 0.00) TO THE GREENE COUNTY LINE (L.M. 12.09).,12.09,MILES
CNW084,CUMBERLAND,THE RESURFACING ON I-40 FROM NEAR PLATEAU ROAD (L.M. 6.80) TO NEAR THE OBED RIVER (L.M. 13.53).,6.73,MILES
CNW129,DAVIDSON,THE INSTALLATION OF AN OVERHEAD SIGN STRUCTURE ON I-65 SB (L.M. 11.15).,0,MILES
CNW104,"DAVIDSON, SUMNER, AND WILLIAMSON",THE LIFE CYCLE REPLACEMENT OF DYNAMIC MESSAGE SIGNS (DMS) ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW108,DEKALB,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 70 (S.R. 26) FROM CHOCTAW RIDGE ROAD (L.M. 7.47) TO SOUTH MILL STREET (L.M. 9.77).,2.3,MILES
CNW110,FAYETTE,"THE GRADING, DRAINAGE, SIGNALS, LIGHTING AND PAVING ON U.S. 64 (S.R 460, SOMERVILLE BELTWAY) FROM NEAR U.S. 64 (S.R. 15) WEST OF SOMERVILLE TO NEAR S.R. 76 SOUTH OF SOMERVILLE.",2.619,MILES
CNW133,FAYETTE,"THE GRADING, DRAINAGE, CONSTRUCTION OF A RETAINING WALL AND PAVING ON A S.I.A. ROUTE SERVING PROJECT HAVEN (PYRAMEX).",0.265,MILES
CNW117,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",THE ON-CALL GUARDRAIL REPAIR AND NEW GUARDRAIL INSTALLATION ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW014,FENTRESS,THE REPAIR OF THE BRIDGE ON S.R. 154 OVER U.S. 127 (S.R. 28) (L.M. 2.20).,0,MILES
CNW123,FRANKLIN,"THE MICROSURFACING ON U.S. 64 (S.R. 433) FROM NEAR U.S. 64BR (S.R. 15) TO U.S. 64 (S.R. 50) AND ON U.S. 64 (S.R. 50) FROM U.S. 64 (S.R. 433) TO WEST OF RUTLEDGE FORD ROAD, INCLUDING BRIDGE DECK REPAIR.",14.49,MILES
CNW085,FRANKLIN,THE RESURFACING ON S.R. 130 FROM NEAR HIGH STREET (L.M. 13.21) TO NEAR U.S. 64 (S.R. 15) (L.M. 14.33).,1.12,MILES
CNW086,FRANKLIN,THE RESURFACING (MICROSURFACE OR THIN MIX OVERLAY) ON U.S. 41A (S.R. 15) FROM WEST OF SHERWOOD ROAD (L.M. 27.20) TO THE MARION COUNTY LINE (L.M. 31.01).,3.24,MILES
CNW024,GREENE,"THE RESURFACING ON U.S. 11E (S.R. 34) FROM NEAR S.R. 70 (L.M. 13.88) TO NEAR ERWIN HIGHWAY (L.M. 18.90), INCLUDING BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",5.02,MILES
CNW106,GRUNDY,THE MICROSURFACING ON U.S. 41 (S.R. 150) FROM THE MARION COUNTY LINE (L.M. 0.00) TO S.R. 56 (L.M. 3.05).,3.05,MILES
CNW131,HAMILTON,"002,33S002-F8-002 THE RESURFACING ON U.S. 11 (U.S. 64, S.R. 2) FROM THE NB INTERSTATE RAMPS (L.M. 20.58) TO THE BRADLEY COUNTY LINE (L.M. 24.42) AND ON S.R. 153 FROM L.M. 3.53 TO L.M. 3.72, INCLUDING BRIDGE EXPANSION JOINT REPAIR.",3.69,MILES
CNW136,HAWKINS,"003,37S346-F8-003 THE RESURFACING ON S.R. 346 FROM U.S. 11W (S.R. 1) (L.M. 0.00) TO U.S. 11W (S.R. 1) (L.M. 7.62) AND ON S.R. 66 FROM NEAR NORTH BRUMMITT STREET (L.M. 12.66) TO NEAR CHOPTACK ROAD (L.M. 19.23).",14.19,MILES
CNW121,HENDERSON,"THE RESURFACING ON S.R. 104 FROM GARNER STREET (L.M. 17.56) TO NEAR S.R. 100 (L.M. 29.44), INCLUDING BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",11.88,MILES
CNW087,HENRY,THE RESURFACING ON S.R. 140 FROM S.R. 22 (L.M. 0.00) TO S.R. 69 (L.M. 19.69).,19.69,MILES
CNW061,HOUSTON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW075,KNOX,"THE RESURFACING AND REHABILITATION ON I-640 FROM I-275 (L.M. 0.00) TO I-40 (L.M. 7.04), INCLUDING BRIDGE EXPANSION JOINT REPAIRS.",7.04,MILES
CNW132,LAWRENCE,THE CONSTRUCTION OF PEDESTRIAN FACILITIES ON U.S. 43 (S.R. 6) FROM REMKE LANE (L.M. 23.16) TO NORTH OF GOOD HOPE ROAD (L.M. 24.20).,1.056,MILES
CNW080,LINCOLN,"THE RESURFACING ON S.R. 110 FROM EAST OF CAMARGO ROAD (L.M. 16.00) TO U.S. 231 (U.S. 431, S.R. 10) (L.M. 22.16).",6.16,MILES
CNW089,MAURY,"THE RESURFACING ON U.S. 31 (S.R. 6) FROM FRYE ROAD (L.M. 27.92) TO THE WILLIAMSON COUNTY LINE (L.M. 33.30), INCLUDING THIN EPOXY OVERLAY ON THE BRIDGE OVER S.R. 396 (SATURN PARKWAY).",5.38,MILES
CNW112,MCMINN,THE RESURFACING WITH COLD IN-PLACE RECYCLING (CIR) ON S.R. 163 FROM NEAR U.S. 11 (S.R. 2) (L.M. 2.45) TO WEST OF COUNTY ROAD 750 (L.M. 8.94).,6.49,MILES
CNW126,MCMINN,THE RESURFACING ON S.R. 307 FROM NORTH OF TELLICO AVENUE (L.M. 1.95) TO THE MONROE COUNTY LINE (L.M. 8.45).,6.5,MILES
CNW130,MEIGS,THE RESURFACING ON S.R. 58 FROM EAST OF THE HIWASSEE RIVER (L.M. 5.79) TO EAST OF ROBERTS ROAD (L.M. 15.34).,9.55,MILES
CNW090,MONROE,THE MICROSURFACING ON S.R. 165 FROM NEAR THE BRIDGE OVER THE TELLICO RIVER (L.M. 3.13) TO THE NORTH CAROLINA STATE LINE (L.M. 23.81).,20.68,MILES
CNW095,MONTGOMERY,"THE RESURFACING ON S.R. 149 FROM NEAR THE BRIDGE OVER WEAVER CREEK (L.M. 7.33) TO RIVER ROAD (L.M. 13.08), INCLUDING BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",5.75,MILES
CNW092,MONTGOMERY,"THE RESURFACING ON S.R. 236 FROM U.S. 41A (S.R. 12) (L.M. 0.00) TO S.R. 48 (L.M. 6.82), INCLUDING BRIDGE JOINT REPAIR AND THIN EPOXY OVERLAY.",6.82,MILES
CNW091,MONTGOMERY,"THE RESURFACING ON S.R. 48, U.S. 79 (S.R. 13) AND U.S. 41A (S.R. 112).",3.18,MILES
CNW048,PERRY AND WAYNE,"THE MICROSURFACING ON S.R. 48 FROM S.R. 13 IN WAYNE COUNTY TO THE LEWIS COUNTY LINE IN PERRY COUNTY, AND ON S.R. 13 IN WAYNE COUNTY FROM NEAR THE BUFFALO RIVER TO THE PERRY COUNTY LINE.",8.36,MILES
CNW109,RHEA,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON BLUEBERRY HILL ROAD FROM U.S. 27 (S.R. 29) (L.M. 0.00) TO S.R. 30 (L.M. 1.27), INCLUDING HIGH FRICTION SURFACE TREATMENT (HFST).",1.27,MILES
CNW093,ROANE,THE RESURFACING ON S.R. 58 FROM NEAR THE MEIGS COUNTY LINE (L.M. 0.00) TO NEAR S.R. 72 (L.M. 7.08).,7.08,MILES
CNW094,RUTHERFORD,THE RESURFACING ON U.S. 231 (S.R. 10) FROM S.R. 269 (L.M. 4.29) TO NORTH OF VOLUNTEER ROAD (L.M. 8.63).,4.34,MILES
CNW099,RUTHERFORD AND WILSON,"THE RESURFACING ON S.R. 452 FROM I-840 (L.M. 0.00) IN RUTHERFORD COUNTY TO U.S. 231 (S.R. 10) (L.M. 1.39) IN WILSON COUNTY, CROSSING IN/OUT OF COUNTY LINES.",4.5,MILES
CNW037,SCOTT,THE RESURFACING ON U.S. 27 (S.R. 29) FROM NEAR S.R. 63 (L.M. 11.53) TO NEAR GALLOWAY DRIVE (L.M. 16.76).,5.23,MILES
CNW055,SHELBY,"THE GRADING, DRAINAGE, CONSTRUCTION OF BRIDGES, RETAINING AND NOISE WALLS, ITS, SIGNALS AND PAVING ON I-55 AT CRUMP BOULEVARD INTERCHANGE, AND REPAIR OF THE BRIDGE OVER THE MISSISSIPPI RIVER (L.M. 12.00).",0.887,MILES
CNW115,SHELBY,THE RESURFACING ON VARIOUS SECTIONS IN MEEMAN-SHELBY STATE PARK.,8.54,MILES
CNW029,SULLIVAN,THE RESURFACING ON U.S. 421 (S.R. 34) FROM U.S. 11W (S.R. 1) (L.M. 16.81) TO NEAR S.R. 394 (L.M. 20.04).,3.23,MILES
CNW096,UNICOI,THE RESURFACING ON U.S. 19W (S.R. 36) FROM THE NORTH CAROLINA STATE LINE (L.M. 0.00) TO NEAR THE I-26 RAMP (L.M. 7.60).,7.6,MILES
CNW128,BUREN,THE REPAIR OF THE BRIDGE ON PARK ROAD OVER FALL CREEK FALLS DAM OVERFLOW.,0.087,MILES
CNW097,WAYNE,THE RESURFACING ON S.R. 203 FROM WEST OF CROMWELL RIDGE ROAD (L.M. 7.00) TO S.R. 13 (L.M. 15.52).,8.52,MILES
CNW098,WILLIAMSON,THE RESURFACING ON S.R. 96 FROM NEAR BOYD MILL AVENUE (L.M. 7.86) TO U.S. 431 (S.R. 106) (L.M. 10.09) AND FROM MAIN STREET (L.M. 10.40) TO EDWARD CURD LANE (L.M. 13.29).,5.12,MILES
CNW101,WILSON,THE RESURFACING ON S.R. 266 FROM NORTH OF MORIAH DRIVE (L.M. 15.00) TO U.S. 70BR/N (S.R. 24) (L.M. 18.12).,3.12,MILES
CNW701,"ANDERSON, COCKE, GRAINGER, HAMBLEN, JEFFERSON, SEVIER, AND UNION",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,554.33,MILES
CNW702,"BEDFORD, LINCOLN, MARSHALL, MAURY, AND MOORE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,507.49,MILES
CNW703,"BEDFORD, RUTHERFORD, AND WILSON",THE SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,57.45,MILES
CNW704,"BENTON, CARROLL, DECATUR, HENDERSON, AND MADISON",THE SWATH MOWING AND LITTER REMOVAL ON I-40.,52.7,MILES
CNW705,"BENTON, CARROLL, HENRY, OBION, AND WEAKLEY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,704.89,MILES
CNW706,"BLEDSOE, SEQUATCHIE, AND VAN BUREN",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,209.39,MILES
CNW707,BLOUNT AND KNOX,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,250.61,MILES
CNW708,"BLOUNT, LOUDON, MONROE, AND ROANE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,555.78,MILES
CNW709,"BRADLEY, MCMINN, MEIGS, AND POLK",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,384.2,MILES
CNW710,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,313.13,MILES
CNW711,"CANNON, VAN BUREN, AND WARREN",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,246.77,MILES
CNW713,"CHEATHAM, MONTGOMERY, ROBERTSON, AND SUMNER",THE SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,286.45,MILES
CNW740,"CLAY, CUMBERLAND, FENTRESS, OVERTON, AND PICKETT",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,458.19,MILES
CNW715,"CLAY, DEKALB, JACKSON, OVERTON, PUTNAM, SMITH, AND WHITE",THE MOWING ON VARIOUS STATE ROUTES.,534.64,MILES
CNW716,COFFEE AND FRANKLIN,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,253.9,MILES
CNW717,"COFFEE, GRUNDY, HAMILTON, AND MARION",THE SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,69.97,MILES
CNW718,"CROCKETT, DECATUR, HAYWOOD, HENDERSON, AND MADISON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,597.22,MILES
CNW739,DAVIDSON,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,367.31,MILES
CNW720,"DICKSON, HICKMAN, RUTHERFORD, AND WILLIAMSON",THE SWATH MOWING AND LITTER REMOVAL ON I-840.,53.05,MILES
CNW721,"DYER, GIBSON, LAKE, AND OBION",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,599.31,MILES
CNW722,"FAYETTE, HAYWOOD, AND MADISON",THE SWATH MOWING AND LITTER REMOVAL ON I-40.,52.95,MILES
CNW738,"FAYETTE, LAUDERDALE, AND TIPTON",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,423.09,MILES
CNW723,GILES,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,150.81,MILES
CNW724,"GILES, MARSHALL, AND MAURY",THE SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,57.47,MILES
CNW725,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,434.36,MILES
CNW726,GRUNDY AND MARION,THE MOWING ON VARIOUS STATE ROUTES.,251.89,MILES
CNW727,HAMILTON,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,69.48,MILES
CNW728,HAMILTON AND RHEA,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,205.1,MILES
CNW730,"LAWRENCE, LEWIS, AND WAYNE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,153.69,MILES
CNW731,"LEWIS, PERRY, AND WAYNE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,170.76,MILES
CNW732,"MACON, SMITH, AND TROUSDALE",THE MOWING ON VARIOUS STATE ROUTES.,249,MILES
CNW733,MAURY,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,208.88,MILES
CNW737,"RUTHERFORD, SUMNER, AND WILSON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,384.34,MILES
CNW734,RUTHERFORD AND WILLIAMSON,THE MOWING ON VARIOUS STATE ROUTES.,124.97,MILES
CNW741,SHELBY,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,255.14,MILES
CNW735,WAYNE,THE MOWING ON VARIOUS STATE ROUTES.,137.43,MILES
CNW736,WILLIAMSON,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,200.65,MILES
CNW917,GRUNDY,THE CONSTRUCTION OF PEDESTRIAN FACILITIES ON U.S. 41A (S.R. 15) FROM NORTH OF CLIFFTOPS AVENUE (L.M. 1.30) TO I-24 (L.M. 1.81) IN MONTEAGLE.,0.506,MILES
