item_no,description,unit,count
716-12.05,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN DOTTED LINE),L.F.,1915
411-12.03,SCORING FOR RUMBLE STRIPE (NON-CONTINUOUS) (8IN WIDTH),L.M.,1892
730-14.03,LOOP WIRE,L.F.,1851
730-14.02,SAW SLOT,L.F.,1850
713-02.21,SIGN POST DELINEATION ENHANCEMENT,L.F.,1846
712-04.50,BARRIER RAIL DELINEATOR,EACH,1784
705-06.01,W BEAM GR (TYPE 2) MASH TL-3,L.F.,1781
713-15.00,"REMOVAL OF SIGNS, POSTS AND FOOTINGS",LS,1725
209-08.03,TEMPORARY SILT FENCE (WITHOUT BACKING),L.F.,1693
705-04.09,EARTH PAD FOR TYPE 38 GR END TREATMENT,EACH,1673
713-15.36,"REMOVE SIGN, SUPPORT & FOOTING",EACH,1649
713-16.20,SIGNS (DESCRIPTION),EACH,1639
716-13.02,SPRAY THERMO PVMT MRKNG (60 mil) (6IN LINE),L.M.,1618
209-08.07,ROCK CHECK DAM,EACH,1606
411-12.01,SCORING SHOULDERS (CONTINUOUS) (16IN WIDTH),L.M.,1600
307-02.08,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING B-M2,TON,1593
411-01.07,ACS MIX (PG64-22) GRADING E SHOULDER,TON,1582
705-02.02,SINGLE GUARDRAIL (TYPE 2),L.F.,1569
716-04.12,PLASTIC PAVEMENT MARKING (YIELD LINE),S.F.,1537
705-02.10,GUARDRAIL TRANSITION 27IN TO 31IN,EACH,1512
716-02.08,PLASTIC PAVEMENT MARKING (8 DOTTED LINE),L.F.,1460
705-08.51,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-3,EACH,1447
740-10.04,GEOTEXTILE (TYPE IV)(STABILIZATION),S.Y.,1413
203-04.00,PLACING AND SPREADING TOPSOIL,C.Y.,1406
705-04.07,"TAN ENERGY ABSORBING TERM (NCHRP 350, TL3)",EACH,1387
801-01.00,SEEDING (WITH MULCH),UNIT,1373
709-05.08,MACHINED RIP-RAP (CLASS B),TON,1372
716-02.09,PLASTIC PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.,1371
716-03.01,PLASTIC WORD PAVEMENT MARKING (ONLY),EACH,1340
713-02.14,FLEXIBLE DELINEATOR (WHITE),EACH,1328
716-04.05,PLASTIC PAVEMENT MARKING (STRAIGHT ARROW),EACH,1274
202-04.01,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,1267
730-12.02,CONDUIT 2 DIAMETER (PVC SCHEDULE 40),L.F.,1253
713-11.21,P POST SLIP BASE,EACH,1240
411-12.02,SCORING SHOULDERS (NON-CONTINUOUS) (16IN WIDTH),L.M.,1231
411-12.04,SCORING FOR RUMBLE STRIPE (NON-CONTINUOUS) (4IN WIDTH),L.M.,1222
716-04.01,PLASTIC PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH,1215
716-04.14,PLASTIC PAVEMENT MARKING (LANE REDUCTION ARROW),EACH,1185
716-12.03,ENHANCED FLATLINE THERMO  PVMT MRKNG (8IN BARRIER LINE),L.F.,1184
611-07.01,CLASS A CONCRETE (PIPE ENDWALLS),C.Y.,1178
307-02.01,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING A,TON,1174
712-09.01,REMOVABLE PAVEMENT MARKING LINE,L.F.,1174
611-07.02,STEEL BAR REINFORCEMENT (PIPE ENDWALLS),LB.,1164
607-03.02,18 CONCRETE PIPE CULVERT (CLASS III),L.F.,1158
712-05.03,WARNING LIGHTS (TYPE C),EACH,1149
203-03.00,BORROW EXCAVATION (UNCLASSIFIED),C.Y.,1134
702-03.00,CONCRETE COMBINED CURB & GUTTER,C.Y.,1106
604-02.03,EPOXY COATED REINFORCING STEEL,LB.,1106
705-06.30,GR TERMINAL (ENERGY ABSORBING) MASH TL-2,EACH,1100
716-04.04,PLASTIC PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.,1094
713-16.21,SIGNS (DESCRIPTION),EACH,1091
607-39.02,18 PIPE CULVERT (SIDE DRAIN),L.F.,1085
604-03.01,CLASS A CONCRETE (BRIDGES),C.Y.,1084
712-09.02,REMOVABLE PAVEMENT MARKING (8 BARRIER LINE),L.F.,1079
705-01.01,GUARDRAIL AT BRIDGE ENDS,L.F.,1076
716-02.07,PLASTIC PAVEMENT MARKING (24 BARRIER LINE),L.F.,1073
705-04.21,GUARDRAIL DELINEATION ENHANCEMENT,L.F.,1071
712-09.04,REMOVABLE PAVEMENT MARKING (STOP LINE),L.F.,1039
730-40.00,TEMPORARY TRAFFIC SIGNAL SYSTEM,EACH,1019
202-03.01,REMOVAL OF ASPHALT PAVEMENT,S.Y.,1018
604-10.54,CONCRETE REPAIRS,S.F.,1003
303-01.02,GRANULAR BACKFILL (BRIDGES),TON,986
716-03.03,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),EACH,986
209-09.01,SANDBAGS,BAG,981
730-05.01,ELECTRICAL SERVICE CONNECTION,EACH,974
203-02.01,BORROW EXCAVATION (GRADED SOLID ROCK),TON,973
730-02.09,SIGNAL HEAD ASSEMBLY (130 WITH BACKPLATE),EACH,972
730-08.03,SIGNAL CABLE - 7 CONDUCTOR,L.F.,970
801-02.00,SEEDING (WITHOUT MULCH),UNIT,959
708-02.01,MARKERS (CONCRETE R.O.W. POSTS),EACH,955
730-03.21,INSTALL PULL BOX (TYPE B),EACH,948
710-02.00,AGGREGATE UNDERDRAINS (WITH PIPE),L.F.,939
604-03.02,STEEL BAR REINFORCEMENT (BRIDGES),LB.,938
209-09.03,SEDIMENT FILTER BAG (15 X 15),EACH,932
716-02.03,PLASTIC PAVEMENT MARKING (CROSS-WALK),L.F.,931
604-10.05,CONCRETE,S.F.,928
716-05.05,PAINTED PAVEMENT MARKING (STOP LINE),L.F.,917
701-01.01,CONCRETE SIDEWALK (4 ),S.F.,916
604-04.01,APPLIED TEXTURE FINISH (NEW STRUCTURES),S.Y.,913
701-02.01,CONCRETE CURB RAMP (RETROFIT),S.F.,913
806-01.00,MOWING,ACRE,904
209-40.33,CATCH BASIN PROTECTION (TYPE D),EACH,901
716-05.02,PAINTED PAVEMENT MARKING (8 BARRIER LINE),L.F.,901
621-03.02,18 TEMPORARY DRAINAGE PIPE,L.F.,900
710-09.01,6 PERFORATED PIPE WITH VERTICAL DRAIN SYSTEM,L.F.,888
604-03.04,PAVEMENT @ BRIDGE ENDS,S.Y.,884
604-05.31,BRIDGE DECK GROOVING (MECHANICAL),S.Y.,882
604-10.50,BRIDGE DECK REPAIRS (PARTIAL DEPTH OF SLAB),S.Y.,878
716-13.04,SPRAY THERMO PVMT MRKNG (60 mil) (4IN DOTTED LINE),L.F.,870
203-07.00,FURNISHING & SPREADING TOPSOIL,C.Y.,857
411-03.10,ACS MIX(PG76-22) GRADING D,TON,849
716-08.01,REMOVAL OF PAVEMENT MARKING (LINE),L.F.,846
712-08.10,MOBILE MESSAGE SIGN UNIT W/ATTENUATOR,HOUR,845
740-11.03,TEMPORARY SEDIMENT TUBE 18IN,L.F.,844
620-05.01,CONC PARAPET SINGLE SLOPE (STD-1-1SS),L.F.,836
604-04.02,APPLIED TEXTURE FINISH (EXISTING STRUCTURES),S.Y.,834
307-01.15,ASC MIX (PG64-22) (BPMLC-HM) GRADING CS,TON,833
805-12.02,EROSION CONTROL BLANKET (TYPE II),S.Y.,830
740-11.02,TEMPORARY SEDIMENT TUBE 12IN,L.F.,827
716-12.01,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN LINE),L.M.,821
710-09.02,6 PIPE UNDERDRAIN,L.F.,819
607-05.02,24 CONCRETE PIPE CULVERT (CLASS III),L.F.,819
716-02.12,PLASTIC PAVEMENT MARKING (8IN LINE),L.M.,817
730-15.32,CABINET (EIGHT PHASE BASE MOUNTED),EACH,813
209-20.03,POLYETHYLENE SHEETING (6 MIL. MINIMUM),S.Y.,808
109-10.01,TRAINEE,HOUR,805
303-01.01,GRANULAR BACKFILL (ROADWAY),TON,794
716-08.20,REMOVAL OF PAVEMENT MARKING (LINE),L.M.,785
204-02.01,DRY EXCAVATION (BRIDGES),C.Y.,784
407-20.05,SAW CUTTING ASPHALT PAVEMENT,L.F.,780
713-01.01,CLASS A CONCRETE (FOUNDATION FOR SIGN SUPPORTS),C.Y.,778
713-01.02,STEEL BAR REINFORCEMENT(FOUNDATION FOR SIGN SUPPORTS),LB.,770
411-03.12,ACS MIX(PG64-22) THIN LIFT D ASPHALT,TON,764
710-05.00,LATERAL UNDERDRAIN,L.F.,759
705-06.11,GR TERMINAL (IN-INLINE) MASH TL-3,EACH,757
303-02.00,"MINERAL AGGREGATE, TYPE B BASE, GRADING (DESCRIPTION)",TON,757
806-02.03,PROJECT MOWING,CYCL,751
712-02.60,TEMPORARY WORK ZONE CRASH CUSHION (MASH TL-3),EACH,750
604-03.09,CLASS D CONCRETE (BRIDGE DECK),C.Y.,748
701-02.03,CONCRETE CURB RAMP,S.F.,744
202-01.00,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,LS,743
705-06.10,GR TERMINALTRAILING END (TYPE 13) MASH TL-3,EACH,737
702-01.00,CONCRETE CURB,C.Y.,729
730-02.17,SIGNAL HEAD ASSEMBLY (150 A2H WITH BACKPLATE),EACH,721
307-03.08,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING B-M2,TON,720
709-05.09,MACHINED RIP-RAP (CLASS C),TON,708
204-08.00,FOUNDATION FILL MATERIAL,C.Y.,706
403-02.01,TRACKLESS TACK COAT,TON,697
730-08.02,SIGNAL CABLE - 5 CONDUCTOR,L.F.,694
209-65.04,TEMPORARY IN STREAM DIVERSION,L.F.,691
705-04.10,EARTH PAD FOR GUARD RAIL END TREATMENT,EACH,687
604-01.01,CLASS A CONCRETE (ROADWAY),C.Y.,687
204-08.01,BACKFILL MATERIAL (FLOWABLE FILL),C.Y.,686
705-04.50,PORTABLE BARRIER RAIL DELINEATOR,EACH,681
611-09.01,ADJUSTMENT OF EXISTING CATCHBASIN,EACH,660
713-14.00,EXTRUDED ALUMINUM PANEL SIGNS,S.F.,660
705-04.05,GUARDRAIL TERMINAL (TYPE-IN-LINE),EACH,656
713-16.22,SIGNS (DESCRIPTION),EACH,643
209-09.43,CURB INLET PROTECTION (TYPE 4),EACH,641
716-03.02,PLASTIC WORD PAVEMENT MARKING (RXR),EACH,638
713-06.00,STEEL I-BEAMS & WF-BEAMS(BREAKAWAY) SIGN SUPPORT,LB.,626
617-04.01,TYPE 1 THIN EPOXY OVERLAY (EPOXY-URETHANE),S.Y.,617
730-01.02,REMOVAL OF SIGNAL EQUIPMENT,EACH,616
202-03.00,"REMOVAL OF RIGID PAVEMENT, SIDEWALK, ETC.",S.Y.,613
611-12.02,"CATCH BASINS, TYPE 12, > 4 - 8 DEPTH",EACH,609
701-02.00,CONCRETE DRIVEWAY,S.F.,609
719-02.00,REMOVAL AND DISPOSAL OF LITTER,L.M.,608
611-07.54,18IN ENDWALL (CROSS DRAIN) 3:1,EACH,602
730-14.01,SHIELDED DETECTOR CABLE,L.F.,602
730-03.20,INSTALL PULL BOX (TYPE A),EACH,599
710-06.15,LATERAL UNDERDRAIN ENDWALL (6:1),EACH,593
740-11.04,TEMPORARY SEDIMENT TUBE 20IN,L.F.,593
713-02.20,ROADSIDE OBSTACLE DELINEATION,S.F.,591
604-10.62,EPOXY INJECTION REPAIR (COMPLETE AND IN PLACE),L.F.,590
795-13.01,DI FITTINGS,LB.,587
730-16.02,EIGHT PHASE ACTUATED CONTROLLER,EACH,582
604-10.44,EXPANSION JOINT REPAIRS,L.F.,578
730-12.01,CONDUIT 1 DIAMETER (PVC SCHEDULE 40),L.F.,568
607-06.02,30 CONCRETE PIPE CULVERT (CLASS III),L.F.,564
611-42.01,"CATCH BASINS, TYPE 42, 0 - 4 DEPTH",EACH,564
712-06.16,SIGNS (CONSTRUCTION)(REDUCED SPEED WARNING),EACH,542
790-98.03,REMOVE FRAMING/ASSOCIATED APPARATUS,EACH,537
790-98.02,REMOVE POLES,EACH,532
604-01.02,STEEL BAR REINFORCEMENT (ROADWAY),LB.,526
716-13.06,SPRAY THERMO PVMT MRKNG (40 mil) (4IN LINE),L.M.,524
790-98.01,REMOVE WIRE,L.F.,519
209-09.04,SEDIMENT FILTER BAG(15 X 10),EACH,516
716-08.05,REMOVAL OF PAVEMENT MARKING (STOP LINE),L.F.,515
730-02.30,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH,514
611-12.01,"CATCH BASINS, TYPE 12, 0 - 4 DEPTH",EACH,512
607-07.02,36 CONCRETE PIPE CULVERT (CLASS III),L.F.,510
611-07.31,18IN ENDWALL (SIDE DRAIN),EACH,508
713-16.23,SIGNS (DESCRIPTION),EACH,507
705-04.03,GUARDRAIL TERMINAL (TYPE 13),EACH,503
713-15.07,SUSPENDED FLAT SHEET ALUMINUM SIGN (0.080 THICK),EACH,503
716-12.06,ENHANCED FLAT LINE THERMO (8IN LINE),L.F.,498
795-11.02,FIRE HYDRANT ASSEMBLY,EACH,497
706-10.26,ROUNDED END ELEMENT,EACH,496
717-01.04,MOBILIZATION (DESCRIPTION),EACH,495
604-10.14,REMOVE EXISTING WEARING SURFACE,LS,492
209-02.07,18 TEMPORARY SLOPE DRAIN,L.F.,490
716-08.06,REMOVAL OF PAVEMENT MARKING (TURN LANE ARROW),EACH,484
604-10.58,EPOXY INJECTION (INJECTION),GAL.,483
209-40.41,CATCH BASIN FILTER ASSEMBLY(TYPE 1),EACH,480
705-20.25,TEMPORARY CRASH CUSHION (MASH TL-3),EACH,471
414-03.01,EMULSIFIED ASPHALT FOR MICRO-SURFACING,TON,470
414-03.02,AGGREGATE FOR MICRO SURFACING,TON,470
705-04.04,GUARDRAIL TERMINAL (TYPE 21),EACH,470
713-02.15,FLEXIBLE DELINEATOR (YELLOW),EACH,466
705-01.04,METAL BEAM GUARD FENCE,L.F.,459
203-05.00,UNDERCUTTING,C.Y.,458
202-01.02,REMOVAL OF ASBESTOS,LS,457
705-06.25,THRIE BEAM BRIDGE TRANSITION MASH TL-3,EACH,456
403-01.01,BITUMINOUS MATERIAL FOR TACK COAT (MICRO-SURFACING),TON,452
795-08.04,6IN GATE VALVE ASSEMBLY,EACH,450
209-40.30,CATCH BASIN PROTECTION (TYPE A),EACH,450
611-07.57,24IN ENDWALL (CROSS DRAIN) 3:1,EACH,449
307-01.21,ASP. CONC. MIX(PG70-22) (BPMB-HM) GR. A-S,TON,449
611-42.02,"CATCH BASINS, TYPE 42, > 4 - 8 DEPTH",EACH,445
617-02.00,BRIDGE DECK CRACK SEALING,L.F.,445
740-11.01,TEMPORARY SEDIMENT TUBE 8IN,L.F.,444
607-39.03,24 PIPE CULVERT (SIDE DRAIN),L.F.,438
209-65.03,TEMPORARY DIVERSION CHANNEL,L.F.,438
710-06.13,LATERAL UNDERDRAIN ENDWALL (4:1),EACH,435
716-01.40,REMOVE AND REPLACE LENS ON SNOWPLOWABLE REFLECTIVE MARKER,EACH,432
717-10.01,INVOLUNTARY WORK SUSPENSION (DESCRIPTION),DAY,432
716-50.01,ROADWAY CLEANING FOR PAVEMENT MARKING,L.M.,431
706-06.03,RADIUS RAIL,L.F.,429
617-05.00,SEALANT (DESCRIPTION),GAL.,429
209-40.42,CATCH BASIN FILTER ASSEMBLY(TYPE 2),EACH,429
203-50.00,CONSTRUCTION OF HAUL ROAD,LS,425
716-04.07,PLASTIC PAVEMENT MARKING (EXIT ONLY ARROW),EACH,423
716-13.05,SPRAY THERMO PVMT MRKNG (60 mil) (6IN DOTTED LINE),L.F.,421
604-02.02,STEEL BAR REINFORCEMENT (BOX BRIDGES),LB.,420
604-02.01,CLASS A CONCRETE (BOX BRIDGES),C.Y.,418
411-01.21,LONGITUDINAL JOINT SEALANT,L.M.,417
607-03.30,18 PIPE CULVERT,L.F.,416
730-12.13,CONDUIT 2 DIAMETER (JACK AND BORE),L.F.,412
202-02.01,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,410
604-10.30,BRIDGE DECK REPAIRS (FULL DEPTH OF SLAB),S.Y.,410
611-14.02,"CATCH BASINS, TYPE 14, > 4 - 8 DEPTH",EACH,409
713-15.02,REMOVAL & RELOCATION OF SIGN & SUPPORT,EACH,406
604-07.01,RETAINING WALL (DESCRIPTION),S.F.,405
716-04.06,PLASTIC PAVEMENT MARKING (WRONG WAY ARROW),EACH,402
712-01.02,LANE CLOSURE,EACH,400
716-04.02,PLASTIC PAVEMENT MARKING(DOUBLE TURNING ARROW),EACH,398
713-14.21,STREET NAME SIGN (RIGID 0.100IN THICK,S.F.,394
716-08.04,REMOVAL OF PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.,393
606-02.03,STEEL PILES (10 INCH),L.F.,393
716-03.07,PLASTIC WORD PAVEMENT MARKING (STOP),EACH,392
710-06.12,LATERAL UNDERDRAIN ENDWALL (3:1),EACH,390
805-12.01,EROSION CONTROL BLANKET (TYPE I),S.Y.,389
712-08.12,QUEUE PROTECTION TRUCK,DAY,388
795-09.09,RELOCATE/RECONNECT SERVICE ASSEMBLY,EACH,379
713-16.24,SIGNS (DESCRIPTION),EACH,370
611-07.56,18IN ENDWALL (CROSS DRAIN) 6:1,EACH,370
712-08.20,TRUCK MOUNTED ATTENUATOR W/MSSAGE BOARD,DAY,369
712-08.09,DIGITAL SPEED LIMIT SIGN ASSEMBLY,EACH,369
703-01.00,PORTLAND CEMENT CONCRETE DITCH PAVING,C.Y.,368
313-03.00,TREATED PERMEABLE BASE,S.Y.,365
604-10.42,CONCRETE REPAIRS,C.F.,364
730-12.03,CONDUIT 3 DIAMETER (PVC SCHEDULE 40),L.F.,363
502-04.01,SAWING CONCRETE PAVEMENT (FULL DEPTH),L.F.,359
730-13.08,VEHICLE DETECTOR (DESCRIPTION),EACH,357
501-01.03,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 10,S.Y.,356
411-03.23,ACS MIX (PG76-22) OGFC,TON,355
730-23.30,PEDESTAL POLE (DESCRIPTION),EACH,354
793-98.04,REMOVE POLES ALL SIZES,EACH,353
716-05.06,PAINTED PAVEMENT MARKING (TURN LANE ARROW),EACH,353
795-08.05,8IN GATE VALVE ASSEMBLY,EACH,347
621-03.03,24 TEMPORARY DRAINAGE PIPE,L.F.,347
209-02.05,12 TEMPORARY SLOPE DRAIN,L.F.,346
611-01.02,"MANHOLES, > 4 - 8 DEPTH",EACH,346
606-02.06,"PILE TIPS (STEEL PILES, 10 INCH)",EACH,346
730-10.01,TETHER WIRE ASSEMBLY - 1/4 DIAMETER,L.F.,343
617-01.00,BRIDGE DECK SEALANT,S.Y.,343
716-12.04,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN DOTTED LINE),L.F.,342
795-06.04,CONNECT TO 6IN WATER LINE,EACH,341
202-04.02,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,338
701-03.00,CONCRETE MEDIAN PAVEMENT,C.Y.,336
606-03.03,STEEL PILES (12 INCH),L.F.,336
610-07.03,18 PIPE DRAIN (BRIDGE DRAIN),L.F.,334
716-01.05,TEMPORARY RAISED PAVEMENT MARKER,EACH,331
712-08.08,SPEED FEEDBACK SIGN ASSEMBLY,EACH,329
790-32.01,DOWN GUY - THROUGH BOLT TYPE,EACH,328
712-04.02,FLEXIBLE DRUMS (CHANNELIZATION),EACH,326
403-01.10,HIGH PERFORMANCE FOG SEALS,S.Y.,325
713-16.09,RAILROAD ADVANCE WARNING SIGN AND SUPPORT,EACH,325
730-26.11,COUNTDOWN PED SGNL HEAD W/AUDIBLE PUSHBUTTON & 15IN SIGN,EACH,324
716-12.09,ENHANCED FLAT LINE THERMO (12IN LINE),L.F.,322
716-04.16,PLASTIC PAVEMENT MARKING (NOISE STRIP),L.F.,320
611-07.55,18IN ENDWALL (CROSS DRAIN) 4:1,EACH,318
712-09.08,REMOVABLE PAVEMENT MARKING (6 line),L.F.,318
611-12.03,"CATCH BASINS, TYPE 12, > 8 - 12 DEPTH",EACH,315
730-16.04,CONTROLLER (ATC),EACH,315
730-23.36,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,315
712-01.03,LANE CLOSURE(NIGHT WORK),EACH,313
730-23.01,STEEL STRAIN POLE (SIGNAL SUPPORT),EACH,312
790-32.23,GUY GUARD,EACH,312
740-06.01,GEOMEMBRANE,S.Y.,312
713-16.50,REMOVE AND REPLACE SIGN (DESCRIPTION),EACH,311
307-03.01,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING A,TON,311
611-07.58,24IN ENDWALL (CROSS DRAIN) 4:1,EACH,310
707-06.01,REMOVAL OF FENCE (DESCRIPTION),L.F.,310
740-07.04,GEOGRID REINFORCEMENT TYPE 2,S.Y.,306
604-04.41,THREE STAR STATE EMBLEM,EACH,301
730-02.31,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH,299
705-08.11,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-3,EACH,297
209-08.09,FILTER SOCK CHECK DAM,EACH,294
730-35.06,BATTERY BACK-UP SYSTEM,EACH,294
607-05.30,24 PIPE CULVERT,L.F.,294
611-07.60,30IN ENDWALL (CROSS DRAIN) 3:1,EACH,292
209-40.46,CATCH BASIN FILTER ASSEMBLY(TYPE 6),EACH,290
716-02.11,PLASTIC PAVEMENT MARKING (6 DOTTED LINE),L.F.,290
604-10.18,REINFORCING STEEL (REPAIRS),LB.,290
713-16.25,SIGNS (DESCRIPTION),EACH,290
801-08.00,FERTILIZER (SUPPLEMENTAL APPLICATION),TON,288
730-03.24,INSTALL PULL BOX (FIBER OPTIC-TYPE B),EACH,286
714-03.01,"DIRECT BURIAL CONDUIT (2 PVC, SCHEDULE 40)",L.F.,286
712-02.47,BRIDGE MOUNTED INTERCONNECTED PORTABLE BARRIER RAIL,L.F.,285
611-07.32,24IN ENDWALL (SIDE DRAIN),EACH,284
790-68.01,POLE GROUND ROD TYPE,EACH,281
716-01.11,RAISED PVMT MARKERS (BI-DIRECTIONAL) (1 COLOR LENS),EACH,280
713-02.22,BARRIER WALL DELINEATION ENHANCEMENT,L.F.,276
716-03.06,PLASTIC WORD PAVEMENT MARKING (SIGNAL AHEAD),EACH,276
411-03.13,ACS MIX(PG70-22) THIN LIFT D ASPHALT,TON,276
202-02.02,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,276
714-08.09,LIGHT STANDARDS (DESCRIPTION),EACH,274
204-06.01,FLOWABLE FILL (GENERAL),C.Y.,273
716-08.11,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,272
793-01.41,ANCHOR 1IN,EACH,272
716-09.86,CONTRAST PAVEMENT MARKING 6,L.M.,270
795-01.03,6IN DIP RESTRAINED JOINT WATER LINE,L.F.,269
795-09.28,3/4IN COPPER SERVICE PIPE,L.F.,269
209-40.44,CATCH BASIN FILTER ASSEMBLY(TYPE 4),EACH,268
607-08.02,42 CONCRETE PIPE CULVERT (CLASS III),L.F.,267
202-06.01,REMOVAL OF BUILDINGS (TRACT NO.),LS,267
611-02.11,"JUNCTION BOX, TYPE 2",EACH,267
611-01.20,ADJUSTMENT OF EXISTING MANHOLE,EACH,266
795-07.03,6IN X 6IN TAPPING SLEEVE AND VALVE,EACH,265
790-30.03,SECONDARY ASSEMBLIES DEADEND,EACH,263
709-01.01,RUBBLE STONE RIP-RAP,C.Y.,263
716-04.13,PLASTIC PAVEMENT MARKING (BIKELANE SYMBOL & ARROW),EACH,262
204-04.01,ROCK EXCAVATION (BRIDGES),C.Y.,260
713-30.09,BARRIER MOUNTED SIGN SUPPORT (DESCRIPTION),EACH,259
795-09.01,3/4IN WATER SERVICE METER ASSEMBLY,EACH,259
790-32.07,OH GUY - THROUGH BOLT TYPE,EACH,258
713-02.26,CONCRETE BARRIER/PARAPET DELINEATOR,EACH,255
