item_no,description,unit
202-02.13,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.14,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.15,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.17,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.18,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.19,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.20,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.21,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.22,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.23,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.24,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.25,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.26,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.27,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.28,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.29,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.30,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.31,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.32,REMOVAL OF PIPE (DESCRIPTION),L.F.
202-02.51,REMOVE CONCRETE ENDWALL & PIPE FROM EXISTING DRIVEWAY,LS
202-03.00,"REMOVAL OF RIGID PAVEMENT, SIDEWALK, ETC.",S.Y.
202-03.01,REMOVAL OF ASPHALT PAVEMENT,S.Y.
202-03.02,REMOVAL OF RIGID PAVEMENT,C.Y.
202-03.03,REMOVAL OF ASPHALT PAVEMENT,C.Y.
202-04.01,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.02,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.03,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.04,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.05,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.06,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.07,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.08,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.09,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.10,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.11,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.12,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.13,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.14,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.15,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.16,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.17,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.18,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.19,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.20,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.21,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.22,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.50,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.51,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.52,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.53,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.54,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.55,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.56,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.57,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.58,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.59,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.60,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.61,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.62,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-04.63,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS
202-06.01,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.02,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.03,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.04,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.05,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.06,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.07,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.08,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.09,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.10,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.11,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.12,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.13,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.14,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.15,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.16,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.17,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.18,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.19,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.20,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.21,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.22,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.23,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.24,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.25,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.26,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.27,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.28,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.29,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.30,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.31,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.32,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.33,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.34,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-06.35,REMOVAL OF BUILDINGS (TRACT NO.),LS
202-08.10,REMOVAL OF CURB (DESCRIPTION),L.F.
202-08.15,REMOVAL OF CURB AND GUTTER (DESCRIPTION),L.F.
202-08.25,REMOVAL OF MEDIAN BARRIER (DESCRIPTION),LS
202-08.28,REMOVAL OF MEDIAN BARRIER (DESCRIPTION),L.F.
202-09.12,REMOVAL OF UNDERGROUND TANKS (TRACT NO.     ),LS
202-11.00,CONSTRUCTION & REMOVAL OF TEMPORARY STRUCTURES,LS
202-12.00,CONSTRUCTION & REMOVAL OF TEMPORARY RUNAROUND,LS
202-13.00,WATER WELL ABANDONMENT,EACH
202-13.01,WELL ABANDONMENT (DESCR),LS
202-13.02,WELL ABANDONMENT (DESCR),LS
203-01.00,ROAD & DRAINAGE EXCAVATION (UNCLASSIFIED),C.Y.
203-01.01,ROAD & DRAINAGE EXCAVATION (SLIDE AREA),C.Y.
203-01.04,REMOVAL OF ROCK PAD,C.Y.
203-01.05,EXCAVATION,C.Y.
203-01.06,ROAD & DRAINAGE EXCAVATION (UNCLASSIFIED),LS
203-01.07,RD & DRNG EXCV (ACID PRODUCING- OFF SITE DISPOSAL),C.Y.
203-01.09,ACID PRODUCING MATERIAL HAUL & TIP FEE,TON
203-01.11,PRESPLITTING OF ROCK EXCAVATION,S.Y.
203-01.13,ROAD & DRAINAGE EXCAVATION (STREAM MITIGATION),C.Y.
203-01.29,ROCK EXCAVATION,C.Y.
203-01.60,ROAD & DRAINAGE EXCAVATION (DESCRIPTION),C.Y.
203-01.61,ROAD & DRAINAGE EXCAVATION (DESCRIPTION),C.Y.
203-01.77,ROAD AND DRAINAGE EXCAVATION (UNCLASS),C.Y.
203-01.79,EXCAVATION/BACKFILL,C.Y.
203-01.95,DESIGN-BUILD GRADING AND ROADWAYS,LS
203-02.00,BORROW EXCAVATION (SOLID ROCK),C.Y.
203-02.01,BORROW EXCAVATION (GRADED SOLID ROCK),TON
203-02.02,BORROW EXCAVATION (GRADED SOLID ROCK),C.Y.
203-02.04,BORROW EXCAVATION (SOLID ROCK),TON
203-02.05,BORROW EXCAVATION (DESCRIPTION),C.Y.
203-03.00,BORROW EXCAVATION (UNCLASSIFIED),C.Y.
203-03.01,BORROW EXCAVATION (SELECT MATERIAL),C.Y.
203-03.05,BORROW EXCAVATION (SELECT MATERIAL),TON
203-03.10,SELECT GRANULAR MATERIAL,TON
203-03.15,BORROW EXCAVATION (CLAY),C.Y.
203-03.51,BORROW EXCAVATION (UNCLASSIFIED),C.Y.
203-04.00,PLACING AND SPREADING TOPSOIL,C.Y.
203-04.01,PLACING SPREADING SOIL FOR LANDSCAPING,C.Y.
203-04.02,STRIPPING & STOCKPILE TOPSOIL,C.Y.
203-05.00,UNDERCUTTING,C.Y.
203-06.00,WATER,M.G.
203-07.00,FURNISHING & SPREADING TOPSOIL,C.Y.
203-08.00,CHANNEL EXCAVATION (UNCLASSIFIED),C.Y.
203-08.50,SEDIMENT BASIN EXCAVATION (COMMON),C.Y.
203-10.00,EMBANKMENT (COMPACTED IN PLACE),C.Y.
203-10.01,EMBANKMENT (SOLID ROCK),C.Y.
203-10.05,SETTLEMENT PLATE / MONITORING DEVICE,EACH
203-10.15,WASTE MATERIAL,C.Y.
203-10.16,GRADED SOLID ROCK (IN-PLACE),C.Y.
203-11.00,SCALING AND TRIMMING,S.Y.
203-12.30,WETLAND MATERIALS EXCAVATION AND RELOCATION,C.Y.
203-15.03,COMPACTED CLAY,C.Y.
203-20.01,CHANNEL SUBSTRATE,C.Y.
203-30.01,ROADWAY APPROACHES,LS
203-40.01,ROCK ANCHORS (DESCRIPTION),EACH
203-40.02,ROCK ANCHORS (DESCRIPTION),L.F.
203-40.03,ROCK ANCHORS (DESCRIPTION),L.F.
203-40.05,DRILLING,L.F.
203-40.07,ANCHOR BLOCKS (DESCRIPTION),EACH
203-40.08,ANCHOR BLOCKS (DESCRIPTION),EACH
203-40.09,ANCHOR BLOCKS (DESCRIPTION),EACH
203-40.10,TIE-BACK ANCHORS (SOIL),m
203-40.11,TIE-BACK ANCHORS (ROCK),m
203-40.12,TIE-BACK ANCHORS (3-STRAND UNCLASSIFIED),L.F.
203-40.13,TIE-BACK ANCHORS (4-STRAND UNCLASSIFIED),L.F.
203-40.14,TIE-BACK ANCHORS (5-STRAND UNCLASSIFIED),L.F.
203-40.15,TIE-BACK ANCHORS (6-STRAND UNCLASSIFIED),L.F.
203-40.17,ROCK DOWEL,L.F.
203-40.18,TIE-BACK ANCHORS (ABANDONED),L.F.
203-40.19,TIE-BACK ANCHORS (7-STRAND UNCLASSIFIED),L.F.
203-40.20,SOIL ANCHOR PULLOUT TEST,EACH
203-40.21,ROCK ANCHOR PULLOUT TEST,EACH
203-40.22,TIE-BACK ANCHORS (1-3/4 150 KSI BAR),L.F.
203-50.00,CONSTRUCTION OF HAUL ROAD,LS
203-50.01,CONSTRUCTION OF HAUL ROAD,LS
203-50.02,CONSTRUCTION OF HAUL ROAD,LS
203-50.50,CONSTRUCTION OF ACCESS ROAD,LS
203-70.07,STANDPIPE,EACH
204-01.00,CULVERT EXCAVATION (UNCLASSIFIED),C.Y.
204-02.01,DRY EXCAVATION (BRIDGES),C.Y.
204-02.10,DRILLED CAISSON - EARTH (DESCRIPTION),L.F.
204-02.11,DRILLED CAISSON - EARTH (DESCRIPTION),L.F.
204-02.20,DRILLED CAISSON - ROCK (DESCRIPTION),L.F.
204-02.21,DRILLED CAISSON - ROCK (DESCRIPTION),L.F.
204-02.30,DRILLED CAISSON-UNCLASSIFIED (DESCRIPTION),L.F.
204-03.01,WET EXCAVATION (BRIDGES),C.Y.
204-04.01,ROCK EXCAVATION (BRIDGES),C.Y.
204-04.10,STRUCTURE EXCAVATION UNCLASSIFIED,C.Y.
204-05.00,ROCK DRILLING (BRIDGES),L.F.
204-05.01,CORE DRILLING AND SAMPLING,L.F.
204-05.02,SOIL PENETRATION TEST DRILLING,V.F.
204-05.10,CORE HOLE GROUTING,V.F.
204-05.15,EXPLORATORY DRILLING,L.F.
204-05.20,GROUT CASING INSTALLATION,L.F.
204-05.22,CORE HOLE DRILLING FOR GROUT,L.F.
204-05.50,DESIGN-BUILD GEOTECHNICAL,LS
204-06.01,FLOWABLE FILL (GENERAL),C.Y.
204-06.02,FLOWABLE FILL (EXCAVATABLE),m3
204-06.03,FLOWABLE FILL (EARLY STRENGTH),C.Y.
204-07.00,BEDDING MATERIAL (PIPE) CLASS B,C.Y.
204-08.00,FOUNDATION FILL MATERIAL,C.Y.
204-08.01,BACKFILL MATERIAL (FLOWABLE FILL),C.Y.
204-09.01,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.02,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.03,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.04,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.05,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.06,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.07,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.08,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.09,"COFFERDAM (PIER NO. ,STA.)",LS
204-09.10,"COFFERDAM (PIER NO. ,STA.)",LS
204-10.01,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.02,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.03,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.04,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.05,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.06,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.07,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.08,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.09,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.10,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.11,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.12,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS
204-10.30,FOUNDATION PREPARATION (DESCRIPTION),LS
204-10.31,FOUNDATION PREPARATION (DESCRIPTION),LS
204-11.00,BRIDGE EXCAVATION (UNCLASSIFIED),C.Y.
204-12.00,CORE DRILLING (CONCRETE SEAL),L.F.
204-13.00,CORE DRILLING (ROCK),L.F.
204-14.00,CORE DRILLING FOR PILES(ROCK),L.F.
204-15.00,CORE DRILLING FOR PILES(SOIL),L.F.
205-02.01,RSS BACKFILL MATERIAL,C.Y.
207-01.01,SUBGRADE CONSTUCTION AND PREPARATION,STA.
207-20.00,MACHINE GRADING,L.M.
207-20.01,ROADWAY SUBGRADE TIMBER MAT(TEMP),L.F.
208-01.00,SHOULDERS AND DITCHES,L.M.
208-01.01,DITCHES,L.F.
208-01.02,SHOULDER PREPARATION,L.M.
208-01.03,GRADE AND RESHAPE SHOULDERS,L.M.
208-01.04,ENGINEERED AGGREGATE-TOPSOIL (EAT) MIX,S.Y.
208-01.05,BROOMING & DEGRASSING SHOULDERS,L.M.
208-02.01,"DITCH (RIPRAP, SAND & PLASTIC SHEETING)",L.F.
209-01.10,EROSION AND SILTATION CONTROL (DESCRIPTION),LS
209-01.11,CONSTRUCTION ACCESS,LS
209-01.30,TEMPORARY COMPOST FILTER BERM,C.Y.
209-01.31,TEMPORARY MULCH FILTER BERM,C.Y.
209-01.50,DESIGN-BUILD ENVIR MANAGMNT (INCL. EPSC),LS
209-02.02,6 TEMPORARY SLOPE DRAIN,L.F.
209-02.03,8 TEMPORARY SLOPE DRAIN,L.F.
209-02.04,10 TEMPORARY SLOPE DRAIN,L.F.
209-02.05,12 TEMPORARY SLOPE DRAIN,L.F.
209-02.06,15 TEMPORARY SLOPE DRAIN,L.F.
209-02.07,18 TEMPORARY SLOPE DRAIN,L.F.
209-03.00,CHECK DAMS,S.F.
209-03.20,FILTER SOCK (8 INCH),L.F.
209-03.21,FILTER SOCK (12 INCH),L.F.
209-03.22,FILTER SOCK (18 INCH),L.F.
209-03.23,FILTER SOCK (24 INCH),L.F.
209-03.30,STREAM MITIGATION (RIVER ROCK),TON
209-03.31,STREAM MITIGATION-COCONUT FIBER ROLLS,L.F.
209-03.32,STREAM MITIGATION-BOULDER CLUSTERS,EACH
209-03.34,STREAM MITIGATION-LOG VANES,L.F.
209-03.35,STREAM MITIGATION-LOG DROP STRUCTURE,L.F.
209-03.36,STREAM MITIGATION-STEP POOL,EACH
209-03.37,STREAM MITIGATION CROSS VANE STRUCTURE,EACH
209-03.38,STREAM MITIGATION -J -HOOK,EACH
209-03.40,STREAM MITIGATION - LOG RIFFLE,L.F.
209-03.41,STREAM MITIGATION - BOULDER RIFFLE,L.F.
209-03.42,STREAM MITIGATION - LIVE BRUSH LAYERING,L.F.
209-03.43,STREAM MITIGATION - VEGETATED RIP-RAP (DESCRIP),C.Y.
209-03.44,STREAM MITIGATION - WILLOW POLES (SPECIES),EACH
209-03.45,STREAM MITIGATION - LIVE FASCINES (SPECIES),L.F.
209-03.47,STREAM MITIGATION - LONGITUDINAL STONE TOE (DESCRIP),C.Y.
209-03.53,STREAM MITIGATION - ARTICULATED CONCRETE MAT,S.Y.
209-03.54,STREAM MITIGATION - CROSS VANE STRUCTURE W/STEP,EACH
209-03.55,STREAM MITIGATION (DESCRIPTION),EACH
209-03.56,STREAM MITIGATION (DESCRIPTION),EACH
209-03.57,STREAM MITIGATION (DESCRIPTION),L.F.
209-03.58,STREAM MITIGATION (DESCRIPTION),L.F.
209-03.59,STREAM MITIGATION - BRUSH MATTRESS,S.Y.
209-03.60,STREAM MITIGATION - ROCK VANE,EACH
209-03.62,STREAM MITIGATION - ROOT WAD,EACH
209-03.64,STREAM MITIGATION - FELLED TREE (SIZE),EACH
209-03.66,PLACING NATIVE STONE IN NEW CHANNEL,S.Y.
209-03.67,STREAM MITIGATION  WOOD TOE W/REINFORCED EARTH,L.F.
209-03.68,STREAM MITIGATION  BOULDER TOE,L.F.
209-03.69,STREAM MITIGATION (DESCRIPTION),EACH
209-03.70,BERM DITCH WITH SIDE SLOPE DRAINAGE,EACH
209-03.99,PROTECTED AREA MARKER (WHITE WITH DECAL),EACH
209-04.00,BRUSH BARRIERS,L.F.
209-05.00,SEDIMENT REMOVAL,C.Y.
209-05.01,SEDIMENT REMOVAL (CULVERTS),m3
209-06.00,BALED HAY OR STRAW EROSION CHECKS,BALE
209-06.02,12 DIA COIR LOG (DESCRIPTION),L.F.
209-06.03,16 DIA COIR LOG (DESCRIPTION),L.F.
209-06.05,BALED HAY OR STRAW,BALE
209-06.10,20IN WATTLE (DESCRIPTION),L.F.
209-06.13,20IN DIA COIR LOG (DESCRIPTION),L.F.
209-08.01,TEMPORARY FILTER BARRIER,L.F.
209-08.02,TEMPORARY SILT FENCE (WITH BACKING),L.F.
209-08.03,TEMPORARY SILT FENCE (WITHOUT BACKING),L.F.
209-08.04,TEMPORARY ENHANCED SILT FENCE,L.F.
209-08.05,ENHANCED SILT FENCE CHECK (V-DITCH),EACH
209-08.06,ENHANCED SILT FENCE CHECK (TRAPEZOIDAL),EACH
209-08.07,ROCK CHECK DAM,EACH
209-08.08,ENHANCED ROCK CHECK DAM,EACH
209-08.09,FILTER SOCK CHECK DAM,EACH
209-09.01,SANDBAGS,BAG
209-09.02,TEMPORARY SEDIMENT FILTER BAG (146 X 20 X 133),BAG
209-09.03,SEDIMENT FILTER BAG (15 X 15),EACH
209-09.04,SEDIMENT FILTER BAG(15 X 10),EACH
209-09.20,POLYMER FLOCCULENT,LB.
209-09.21,POLYACRYLAMIDE GEL LOGS,EACH
209-09.22,POLYACRYLAMIDE POWDER,LB.
209-09.23,POLYACRYLAMIDE LIQUID,GAL.
209-09.24,JUTE MESH FABRIC,S.Y.
209-09.40,CURB INLET PROTECTION (TYPE 1),EACH
209-09.41,CURB INLET PROTECTION (TYPE 2),EACH
209-09.42,CURB INLET PROTECTION (TYPE 3),EACH
209-09.43,CURB INLET PROTECTION (TYPE 4),EACH
209-10.01,TEMPORARY DEWATERING STRUCTURE,C.Y.
209-10.02,8IN SKIMMER W/6IN HEAD,EACH
209-10.20,TEMPORARY SEDIMENT TRAP,C.Y.
209-11.01,SEDIMENT BASIN RISER(     ),EACH
209-11.02,SEDIMENT BASIN RISER(     ),EACH
209-11.20,SEDIMENT BASIN BAFFLES,L.F.
209-13.04,TURBIDITY CURTAIN(DESCRIPTION),L.F.
209-13.05,TURBIDITY CURTAIN(DESCRIPTION),L.F.
209-13.06,TURBIDITY CURTAIN(DESCRIPTION),L.F.
209-13.07,TURBIDITY CURTAIN(DESCRIPTION),L.F.
209-20.03,POLYETHYLENE SHEETING (6 MIL. MINIMUM),S.Y.
209-20.04,POLYETHYLENE SHEETING (10 MIL.),S.Y.
209-20.20,DETENTION POND OUTLET STRUCTURE (DESCR.),EACH
209-20.21,SEDIMENT POND OUTLET STRUCTURE (DESCR.),LS
209-40.30,CATCH BASIN PROTECTION (TYPE A),EACH
209-40.31,CATCH BASIN PROTECTION (TYPE B),EACH
209-40.32,CATCH BASIN PROTECTION (TYPE C),EACH
209-40.33,CATCH BASIN PROTECTION (TYPE D),EACH
209-40.34,CATCH BASIN PROTECTION (TYPE E),EACH
209-40.41,CATCH BASIN FILTER ASSEMBLY(TYPE 1),EACH
209-40.42,CATCH BASIN FILTER ASSEMBLY(TYPE 2),EACH
209-40.43,CATCH BASIN FILTER ASSEMBLY(TYPE 3),EACH
209-40.44,CATCH BASIN FILTER ASSEMBLY(TYPE 4),EACH
209-40.45,CATCH BASIN FILTER ASSEMBLY(TYPE 5),EACH
209-40.46,CATCH BASIN FILTER ASSEMBLY(TYPE 6),EACH
209-40.47,CATCH BASIN FILTER ASSEMBLY(TYPE 7),EACH
209-40.48,CATCH BASIN FILTER ASSEMBLY(TYPE 8),EACH
209-40.49,CATCH BASIN FILTER ASSEMBLY(TYPE 9),EACH
209-40.50,CATCH BASIN FILTER ASSEMBLY(TYPE 10),EACH
209-40.51,CATCH BASIN FILTER ASSEMBLY(TYPE 11),EACH
209-65.01,TEMPORARY STREAM DIVERSION (DESCRIPTION),LS
209-65.02,TEMPORARY STREAM DIVERSION (DESCRIPTION),LS
209-65.03,TEMPORARY DIVERSION CHANNEL,L.F.
209-65.04,TEMPORARY IN STREAM DIVERSION,L.F.
209-65.14,TEMPORARY STREAM DIVERSION,LS
209-70.01,VACUUM TRUCK/SWEEPER FOR ROADWAY DEBRIS,HOUR
209-99.91,EROSION CONTROL,LS
301-50.50,DESIGN-BUILD PAVEMENT,LS
302-01.01,HYDRATED LIME,TON
303-01.00,"MINERAL AGGREGATE, TYPE A BASE, GRADING D",TON
303-01.01,GRANULAR BACKFILL (ROADWAY),TON
303-01.02,GRANULAR BACKFILL (BRIDGES),TON
303-01.03,GRANULAR BACKFILL (RETAINING WALLS),TON
