contract_number,work_type,project_description,county,Proposal ID,Category Description,Primary County,Letting Date,tdot_work_type,match
CNS316,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 210 OVER THE SOUTH FORK FORKED DEER RIVER (L.M. 3.38).,LAUDERDALE,CNS316,BRIDGE,LAUDERDALE,20181005,Bridge,True
CNS003,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 27 (S.R. 61) OVER CANEY CREEK (L.M. 5.17) IN HARRIMAN.,ROANE,CNS003,BRIDGE,ROANE,20180511,Bridge,True
CNT103,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 58 OVER THE HIWASSEE RIVER (L.M. 5.22).,MEIGS,CNT103,BRIDGE,MEIGS,20190329,Bridge,True
CNT284,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 249 OVER I-24 (L.M. 26.02).,CHEATHAM,CNT284,"BRIDGE, ROADWAY",CHEATHAM,20190809,Roadway+Bridge,True
CNT300,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 53 OVER MULHERRIN CREEK (L.M. 7.18).,SMITH,CNT300,BRIDGE,SMITH,20190809,Bridge,True
CNT285,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 231 (S.R. 10) OVER TOWN CREEK (L.M. 13.56) IN LEBANON.,WILSON,CNT285,"BRIDGE, ROADWAY",WILSON,20190809,Roadway+Bridge,True
CNS905,Bridge Work,THE REHABILITATION OF THE CONCRETE I-BEAM BRIDGE ON S.R. 156 OVER RUNNING WATER CREEK (L.M. 25.58).,MARION,CNS905,"BRIDGE, UTILITY",MARION,20180511,Bridge,True
CNU078,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 371 OVER CANE CREEK (L.M. 1.10).,LAUDERDALE,CNU078,BRIDGE,LAUDERDALE,20200207,Bridge,True
CNU081,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70E (S.R. 1) OVER SPRING CREEK (L.M. 28.99).,MADISON,CNU081,BRIDGE,MADISON,20200207,Bridge,True
CNS254,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 8 OVER THE COLLINS RIVER (L.M. 8.14).,WARREN,CNS254,BRIDGE,WARREN,20180622,Bridge,True
CNT022,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 11W (S.R. 1) OVER THE NORFOLK SOUTHERN RAILROAD (L.M. 25.47).,KNOX,CNT022,BRIDGE,KNOX,20190809,Bridge,True
CNN002,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 41 (S.R. 2) OVER THE LITTLE DUCK RIVER (L.M. 13.68 L & R).,COFFEE,CNN002,BRIDGE,COFFEE,20140711,Bridge,True
CNT095,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 127 (S.R. 28) OVER THE WOLF RIVER (L.M. 29.40).,FENTRESS,CNT095,BRIDGE,FENTRESS,20190329,Bridge,True
CNP911,Bridge Work,THE REPAIR OF THE BRIDGE ON I-155 OVER THE MISSISSIPPI RIVER (L.M. 0.00).,DYER,CNP911,BRIDGE,DYER,20150327,Bridge,True
CNS266,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 101 OVER BEE CREEK (L.M. 8.98).,BLEDSOE,CNS266,BRIDGE,BLEDSOE,20180817,Bridge,True
CNT296,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 231 (S.R. 10) OVER SPRING CREEK (L.M. 19.48) AND THE CUMBERLAND RIVER (L.M. 20.91).,WILSON,CNT296,"BRIDGE, ROADWAY",WILSON,20191004,Roadway+Bridge,True
CNT340,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 96 OVER SMITH FORK CREEK (L.M. 2.91).,WILSON,CNT340,BRIDGE,WILSON,20191004,Bridge,True
CNT903,Bridge Work,THE REPAIR OF THE BRIDGE ON I-155 (U.S. 412) OVER THE MISSISSIPPI RIVER (L.M. 0.00).,DYER,CNT903,"BRIDGE, BRIDGE ALTERNATE SA1, BRIDGE ALTERNATE SA2",DYER,20190621,Bridge,True
CNT003,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 61 OVER NORFOLK SOUTHERN RAILWAY AND MARKET STREET/EAGLE BEND ROAD (L.M. 15.67) IN CLINTON.,ANDERSON,CNT003,BRIDGE,ANDERSON,20190621,Bridge,True
CNT211,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 25W (S.R. 9) OVER BIG CREEK (L.M. 24.15) IN LAFOLLETTE.,CAMPBELL,CNT211,BRIDGE,CAMPBELL,20190621,Bridge,True
CNT129,Bridge Work,"THE REPAIR OF BRIDGES ON I-24 OVER U.S. 31E (S.R. 6, MAIN STREET) (L.M. 14.46), OVER WOODLAND STREET (L.M. 14.54) AND OVER THE CUMBERLAND RIVER (L.M. 15.23).",DAVIDSON,CNT129,"BRIDGE, ROADWAY",DAVIDSON,20190329,Roadway+Bridge,True
CNT256,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 50 OVER I-24 (L.M. 0.27).,GRUNDY,CNT256,BRIDGE,GRUNDY,20190621,Bridge,True
CNT243,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 294 OVER BIG EAGLE CREEK (L.M. 1.39).,OVERTON,CNT243,BRIDGE,OVERTON,20190621,Bridge,True
CNT262,Bridge Work,THE REPAIR OF THE ICG RAILROAD BRIDGE OVER I-55 (L.M. 7.23).,SHELBY,CNT262,BRIDGE,SHELBY,20190621,Bridge,True
CNT247,Bridge Work,THE REPAIR OF THE BRIDGE ON PERKINS ROAD OVER I-240 (L.M. 3.07) IN MEMPHIS.,SHELBY,CNT247,BRIDGE,SHELBY,20190621,Bridge,True
CNT246,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 205 OVER BIG CREEK DRAINAGE DITCH (L.M. 1.06).,SHELBY,CNT246,BRIDGE,SHELBY,20190621,Bridge,True
CNT260,Bridge Work,THE REPAIR OF THE I-40 WB BRIDGE OVER THE CANEY FORK RIVER AT M.M. 263.10 (L.M. 12.99).,SMITH,CNT260,"BRIDGE, ROADWAY",SMITH,20190621,Roadway+Bridge,True
CNT263,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 EB OVER U.S. 70 (S.R. 26) (L.M. 16.82).,WILSON,CNT263,"BRIDGE, ROADWAY",WILSON,20190621,Roadway+Bridge,True
CNS159,Bridge Work,THE REPAIR OF THE BRIDGE ON WARRIOR DRIVE OVER I-40 (L.M. 1.20) IN HARRIMAN.,ROANE,CNS159,BRIDGE,ROANE,20180323,Bridge,True
CNQ217,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 166 OVER SUGAR CREEK (L.M. 3.10).,MAURY,CNQ217,BRIDGE,MAURY,20161007,Bridge,True
CNN119,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 48 OVER I-40 (L.M. 0.21).,DICKSON,CNN119,BRIDGE,DICKSON,20140711,Bridge,True
CNQ315,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER TRACE CREEK (L.M. 10.49) IN WAVERLY.,HUMPHREYS,CNQ315,BRIDGE,HUMPHREYS,20161007,Bridge,True
CNY196,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 70S (S.R. 1) OVER S.R. 55 (L.M. 10.53).,WARREN,CNY196,BRIDGE,WARREN,20240816,Bridge,True
CNX091,Bridge Work,THE REHABILITATION OF THE BRIDGE ON S.R. 128 OVER THE PICKWICK DAM (L.M. 0.84).,HARDIN,CNX091,BRIDGE,HARDIN,20230512,Bridge,True
CNY015,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 25W (S.R. 9) OVER COVE LAKE (L.M. 31.35 AND L.M. 31.79).,CAMPBELL,CNY015,BRIDGE,CAMPBELL,20240209,Bridge,True
CNY037,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 100 OVER THE HARPETH RIVER (L.M. 7.36).,DAVIDSON,CNY037,BRIDGE,DAVIDSON,20240209,Bridge,True
CNY065,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 13 OVER HURRICANE CREEK (L.M. 11.42).,HUMPHREYS,CNY065,BRIDGE,HUMPHREYS,20240209,Bridge,True
CNY066,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70N (S.R. 24) OVER FALLING WATER RIVER (L.M. 24.42).,PUTNAM,CNY066,BRIDGE,PUTNAM,20240209,Bridge,True
CNY195,Bridge Work,"THE REPAIR OF THE BRIDGE ON S.R. 14 OVER THE CSX RAILROAD (L.M. 18.27), AND ON MONROE AVENUE OVER U.S. 51 (S.R. 1, DANNY THOMAS BOULEVARD) (L.M. 0.00).",SHELBY,CNY195,BRIDGE,SHELBY,20240816,Bridge,True
CNY036,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 76 OVER THE CSX RAILROAD (L.M. 4.65).,ROBERTSON,CNY036,BRIDGE,ROBERTSON,20240209,Bridge,True
CNY179,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 52 OVER THE CUMBERLAND RIVER (L.M. 19.32).,CLAY,CNY179,BRIDGE,CLAY,20240621,Bridge,True
CNY062,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 299 OVER I-40 (L.M. 2.79).,CUMBERLAND,CNY062,BRIDGE,CUMBERLAND,20240621,Bridge,True
CNX241,Bridge Work,"THE REPAIR OF THE BRIDGE ON I-40 OVER U.S. 11E (U.S. 70, S.R. 9, ASHEVILLE HIGHWAY) (L.M. 25.09).",KNOX,CNX241,BRIDGE,KNOX,20230623,Bridge,True
CNY097,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 64 (S.R. 50) OVER OLD ALTO HIGHWAY (L.M. 16.93).,FRANKLIN,CNY097,BRIDGE,FRANKLIN,20240621,Bridge,True
CNY162,Bridge Work,THE REPAIR OF THE BRIDGE ON I-75 OVER THE TENNESSEE RIVER (L.M. 7.55).,LOUDON,CNY162,BRIDGE,LOUDON,20240621,Bridge,True
CNY063,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 156 OVER THE TENNESSEE RIVER (L.M. 15.19).,MARION,CNY063,BRIDGE,MARION,20240621,Bridge,True
CNY316,Bridge Work,THE REPAIR OF BRIDGES ON I-24 OVER MISSIONARY RIDGE RAVINE (L.M. 11.07 AND L.M. 11.13).,HAMILTON,CNY316,BRIDGE,HAMILTON,20241218,Bridge,True
CNY164,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 411 (S.R. 33) OVER THE LITTLE TENNESSEE RIVER (L.M. 16.68).,MONROE,CNY164,BRIDGE,MONROE,20240621,Bridge,True
CNY001,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 102 OVER U.S. 70 (S.R. 1) AND THE CSXT RAILROAD (L.M. 10.34).,RUTHERFORD,CNY001,BRIDGE,RUTHERFORD,20240816,Bridge,True
CNY201,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 30 OVER THE TENNESSEE RIVER (L.M. 17.28).,MEIGS AND RHEA,CNY201,BRIDGE,RHEA,20240816,Bridge,True
CNX109,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 136 OVER THE CANEY FORK RIVER (L.M. 1.99).,WARREN,CNX109,BRIDGE,WARREN,20231006,Bridge,True
CNW267,Bridge Work,THE REPAIR OF THE BRIDGES ON I-40 OVER 17TH STREET (L.M. 18.30).,KNOX,CNW267,"BRIDGE, ROADWAY",KNOX,20220819,Roadway+Bridge,True
CNW282,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 163 OVER CHESTUEE CREEK (L.M. 11.74).,MCMINN,CNW282,"BRIDGE, ROADWAY",MCMINN,20220819,Roadway+Bridge,True
CNX325,Bridge Work,THE REPAIR OF THE BRIDGES ON I-40 OVER S.R. 95 AND U.S. 321 (S.R. 73) (L.M. 0.57).,LOUDON,CNX325,BRIDGE,LOUDON,20231006,Bridge,True
CNW265,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 93 OVER THE SOUTH FORK HOLSTON RIVER AND PLANT ROAD (L.M. 7.82).,SULLIVAN,CNW265,"BRIDGE, ROADWAY",SULLIVAN,20220819,Roadway+Bridge,True
CNX111,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 85 OVER INDIAN CREEK (L.M. 4.77).,JACKSON,CNX111,BRIDGE,JACKSON,20231006,Bridge,True
CNY193,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 412 (S.R. 20) OVER THE BUFFALO RIVER AND SHORT CREEK (L.M. 12.61).,PERRY,CNY193,BRIDGE,PERRY,20240816,Bridge,True
CNX318,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 70 OVER THE NOLICHUCKY RIVER (L.M. 8.50).,GREENE,CNX318,BRIDGE,GREENE,20231006,Bridge,True
CNW021,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 45BP (S.R. 186) OVER HOLLYWOOD DRIVE/KEITH SHORT BYPASS (L.M. 1.55) AND ON U.S. 70 (S.R. 1) OVER OVERFLOW (L.M. 12.30).,MADISON,CNW021,BRIDGE,MADISON,20220211,Bridge,True
CNW006,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 27 (S.R. 29) OVER WEBB CREEK (L.M. 1.63) AND NEW RIVER (L.M. 8.91).,SCOTT,CNW006,BRIDGE,SCOTT,20220211,Bridge,True
CNW035,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 93 OVER SHIPLEY STREET (L.M. 9.65) IN KINGSPORT.,SULLIVAN,CNW035,BRIDGE,SULLIVAN,20220211,Bridge,True
CNY191,Bridge Work,"THE REPAIR OF BRIDGES ON U.S. 45 (S.R. 5) OVER OVERFLOW (L.M. 8.38), TURKEY CREEK (L.M. 8.50), AND DRY CREEK (L.M. 9.36).",CHESTER,CNY191,BRIDGE,CHESTER,20240816,Bridge,True
CNY167,Bridge Work,THE REPAIR OF BRIDGES ON I-40 OVER EAST PINEY ROAD (L.M. 5.13).,DICKSON,CNY167,BRIDGE,DICKSON,20240816,Bridge,True
CNY200,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 43 (S.R. 6) OVER THE DUCK RIVER (L.M. 22.24).,MAURY,CNY200,BRIDGE,MAURY,20240816,Bridge,True
CNX911,Bridge Work,"THE REPAIR OF THE BRIDGE ON I-40 OVER U.S. 11E (U.S. 70, S.R. 9, ASHEVILLE HIGHWAY) (L.M. 25.09).",KNOX,CNX911,BRIDGE,KNOX,20231006,Bridge,True
CNS256,Bridge Work,THE REPAIR OF THE BRIDGES ON I-26 OVER ROCK SPRINGS ROAD (L.M. 6.31).,SULLIVAN,CNS256,BRIDGE,SULLIVAN,20180622,Bridge,True
CNY243,Bridge Work,THE REPAIR OF THE BRIDGES ON I-75 OVER BETTER CHANEE ROAD AND THE RJ CORMAN RAILROAD (L.M. 2.68).,CAMPBELL,CNY243,BRIDGE,CAMPBELL,20241004,Bridge,True
CNY217,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 OVER THE MISSISSIPPI RIVER (L.M. 0.00).,SHELBY,CNY217,BRIDGE,SHELBY,20241004,Bridge,True
CNN283,Bridge Work,"THE REPAIR OF THE BRIDGES ON S.R. 45 OVER THE CUMBERLAND RIVER (L.M. 9.26, LEFT & RIGHT).",DAVIDSON,CNN283,"BRIDGE, ROADWAY",DAVIDSON,20140829,Roadway+Bridge,True
CNN281,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER THE CANEY FORK RIVER (L.M. 6.36).,CUMBERLAND,CNN281,BRIDGE,CUMBERLAND,20140829,Bridge,True
CNQ102,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 100 OVER OVERFLOW (L.M. 7.58).,HARDEMAN,CNQ102,BRIDGE,HARDEMAN,20160401,Bridge,True
CNN276,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 32 OVER COSBY CREEK (L.M. 9.84).,COCKE,CNN276,BRIDGE,COCKE,20140829,Bridge,True
CNQ107,Bridge Work,THE REPAIR OF BRIDGES OVER I-40 AT HAWKINS LANE (L.M. 0.47) AND S.R. 19 (L.M. 16.62).,HAYWOOD,CNQ107,BRIDGE,HAYWOOD,20160401,Bridge,True
CNN127,Bridge Work,"THE REPAIR OF BRIDGES ON S.R. 14 OVER I-55 (L.M. 7.46), AND ON SOUTH PARKWAY WEST OVER I-55 (L.M. 0.00).",SHELBY,CNN127,BRIDGE,SHELBY,20140711,Bridge,True
CNN301,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 104 OVER THE OBION RIVER (L.M. 6.89) AND S.R. 182 OVER COON CREEK (L.M. 4.34).,DYER,CNN301,BRIDGE,DYER,20140829,Bridge,True
CNQ106,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 117 OVER SNAKE CREEK (L.M. 4.73).,MCNAIRY,CNQ106,BRIDGE,MCNAIRY,20160401,Bridge,True
CNN259,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 OVER OAKDALE ROAD (L.M. 1.08).,ROANE,CNN259,BRIDGE,ROANE,20140711,Bridge,True
CNQ147,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 55 OVER GOOD BRANCH (L.M. 2.77).,MOORE,CNQ147,"BRIDGE, ROADWAY",MOORE,20160401,Roadway+Bridge,True
CNQ108,Bridge Work,"THE REPAIR OF BRIDGES ON S.R. 385 OVER GULF STREAM ROAD (L.M. 8.98 L&R), THE CSXT RAILROAD (L.M. 9.10 L&R), AND U.S. 70 (U.S. 79, S.R. 1) (L.M. 9.23 L&R).",SHELBY,CNQ108,BRIDGE,SHELBY,20160401,Bridge,True
CNQ115,Bridge Work,THE REPAIR OF BRIDGES OVER S.R. 22 AT OLD SALEM ROAD (L.M. 22.76) AND TERRELL ROAD (L.M. 28.85).,WEAKLEY,CNQ115,BRIDGE,WEAKLEY,20160401,Bridge,True
CNQ318,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 73 OVER THE PIGEON RIVER (L.M. 4.56).,COCKE,CNQ318,BRIDGE,COCKE,20161007,Bridge,True
CNN226,Bridge Work,"BRIDGE REPAIR ON S.R. 250 IN DICKSON COUNTY OVER THE HARPETH RIVER (L.M. 6.14), AND ON S.R. 238 IN MONTGOMERY COUNTY OVER SPRING CREEK (L.M. 8.23).",DICKSON AND MONTGOMERY,CNN226,"BRIDGE, ROADWAY",DICKSON,20140711,Roadway+Bridge,True
CNQ126,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 58 OVER BIG SEWEE CREEK (L.M. 22.84).,MEIGS,CNQ126,BRIDGE,MEIGS,20160401,Bridge,True
