contract_number,county,num_counties,multi_county,work_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_signals,has_guardrail,has_milling,has_widening,is_interstate,is_us_route,is_state_route
CNV154,DAVIDSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 155 (BRILEY PARKWAY/ROBERTSON ROAD) OVER RAMP C (L.M. 27.25) AND I-40 (L.M. 27.38).,0.233,MILES,False,False,True,False,False,False,False,False,True,False,True
CNY196,WARREN,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 70S (S.R. 1) OVER S.R. 55 (L.M. 10.53).,0.172,MILES,False,False,True,False,False,False,False,False,False,False,True
CNY195,SHELBY,1,False,Bridge Work,"THE REPAIR OF THE BRIDGE ON S.R. 14 OVER THE CSX RAILROAD (L.M. 18.27), AND ON MONROE AVENUE OVER U.S. 51 (S.R. 1, DANNY THOMAS BOULEVARD) (L.M. 0.00).",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNY001,RUTHERFORD,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 102 OVER U.S. 70 (S.R. 1) AND THE CSXT RAILROAD (L.M. 10.34).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNY193,PERRY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 412 (S.R. 20) OVER THE BUFFALO RIVER AND SHORT CREEK (L.M. 12.61).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNY201,MEIGS AND RHEA,2,True,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 30 OVER THE TENNESSEE RIVER (L.M. 17.28).,0.758,MILES,False,False,True,False,False,False,False,False,False,False,True
CNY200,MAURY,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 43 (S.R. 6) OVER THE DUCK RIVER (L.M. 22.24).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNY167,DICKSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON I-40 OVER EAST PINEY ROAD (L.M. 5.13).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT397,GRUNDY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 108 OVER BRANCH (L.M. 28.18).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNY191,CHESTER,1,False,Bridge Work,"THE REPAIR OF BRIDGES ON U.S. 45 (S.R. 5) OVER OVERFLOW (L.M. 8.38), TURKEY CREEK (L.M. 8.50), AND DRY CREEK (L.M. 9.36).",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNZ272,SHELBY,1,False,Bridge Work,"THE REPAIR OF THE BRIDGE ON I-240 OVER I-40, I-240 NB, U.S. 70 (S.R. 1), AND RAMPS (L.M. 19.65).",0.468,MILES,False,False,True,False,False,False,False,False,True,True,True
CNT395,DYER,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 51 (S.R. 3) OVER S.R. 211 (L.M. 11.99) IN DYERSBURG.,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT001,DAVIDSON,1,False,Bridge Work,"THE REPAIR OF THE BRIDGES ON ARLINGTON AVENUE OVER I-40 (L.M. 0.12 AND L.M. 0.17) AND ON U.S. 41 (U.S. 70S, S.R. 1) OVER MILL CREEK (L.M. 21.99).",0.13,MILES,False,False,True,False,False,False,False,False,True,True,True
CNY037,DAVIDSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 100 OVER THE HARPETH RIVER (L.M. 7.36).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX186,HAMILTON,1,False,Bridge Work,"THE REPLACEMENT (FAST TRACK) OF PORTLAND CEMENT CONCRETE PAVEMENT ON I-24 FROM EAST OF THE I-124 RAMPS (L.M. 7.40) TO EAST OF LONG STREET (L.M. 8.14), INCLUDING BRIDGE EXPANSION JOINT REPAIR.",0.74,MILES,False,False,True,False,False,False,False,False,True,False,False
CNR065,PUTNAM,1,False,Bridge Work,"THE REPAIR OF THE BRIDGES ON I-40 OVER S.R. 24 (L.M. 33.46 AND L.M. 34.12, R&L).",0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNR066,PUTNAM,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON OLD BAXTER ROAD OVER I-40 (L.M. 2.89).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNY015,CAMPBELL,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 25W (S.R. 9) OVER COVE LAKE (L.M. 31.35 AND L.M. 31.79).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV215,DAVIDSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON I-24 OVER CLAYLICK COURT (L.M. 6.64).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT071,GILES,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-65 OVER SINKING CREEK (L.M. 2.76).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNN060,KNOX,1,False,Bridge Work,"BRIDGE REPAIR ON I-40 OVER RAMPS AND 21ST STREET (L.M.’S 17.92, 17.93 AND 17.94), S.R. 115 OVER 21ST STREET AND RAMP (L.M. 6.58), AND PEDESTRIAN BRIDGE OVER S.R. 62 (L.M. 5.24).",0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNR013,LINCOLN,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 231 (S.R. 10) OVER NORRIS CREEK (L.M. 17.17 & L.M. 19.32).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNN085,GREENE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 351 OVER CAMP CREEK (L.M. 8.10).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNN071,DYER,1,False,Bridge Work,"THE REPAIR OF TWO (2) BRIDGES ON I-155 OVER OVERFLOW (L.M. 6.19 R & L), AND TWO (2) BRIDGES OVER S.R. 182 (LM 7.40 R & L).",0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNT067,OBION,1,False,Bridge Work,"THE REPAIR OF 6 BRIDGES ON VARIOUS ROUTES OVER U.S. 45W (U.S. 51, S.R. 3).",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT062,POLK,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 64 (S.R. 40) OVER NORTH POTATO CREEK (L.M. 26.93).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNR064,GREENE,1,False,Bridge Work,"THE REPAIR OF THE BRIDGES OVER I-81 AT MARVIN ROAD (L.M. 2.50), FLATWOODS ROAD (L.M. 0.57) AND BERNARD ROAD (L.M. 0.55).",0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT066,SHELBY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 78 (S.R 4) OVER JOHNS CREEK (L.M. 2.23).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,False
CNT036,SULLIVAN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 11W (S.R. 1) OVER REEDY CREEK (L.M. 9.77) IN KINGSPORT.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNN057,DAVIDSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 254 (OLD HICKORY BOULEVARD) OVER OTTER CREEK (L.M. 2.54),0.09,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT068,WEAKLEY,1,False,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 22 OVER MUD CREEK (L.M. 15.71) AND CHESTNUT BRANCH (L.M. 15.75).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNR001,CARROLL,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER OVERFLOW (L.M. 31.17).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNZ260,SULLIVAN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON WESTFIELD DRIVE OVER I-26 (L.M. 0.05).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNZ266,TROUSDALE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER LITTLE GOOSE CREEK (L.M. 4.82).,0.122,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT238,CAMPBELL,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-75 OVER U.S. 25W (S.R. 9) (L.M. 30.67).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNT399,CARROLL,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 22 BP OVER BRIER CREEK (L.M. 0.34) AND CSX RAILROAD (L.M. 3.10) IN HUNTINGDON.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV225,SMITH,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER SMITH FORK CREEK (L.M. 12.68).,0.233,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX091,HARDIN,1,False,Bridge Work,THE REHABILITATION OF THE BRIDGE ON S.R. 128 OVER THE PICKWICK DAM (L.M. 0.84).,0.69,MILES,False,False,True,False,False,False,False,False,False,False,True
CNZ261,MORGAN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 62 OVER LITTLE CLEAR CREEK (L.M. 13.77).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT903,DYER,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON I-155 (U.S. 412) OVER THE MISSISSIPPI RIVER (L.M. 0.00).,0.0,MILES,False,False,True,False,False,False,False,False,True,True,False
CNT211,CAMPBELL,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 25W (S.R. 9) OVER BIG CREEK (L.M. 24.15) IN LAFOLLETTE.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNW267,KNOX,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-40 OVER 17TH STREET (L.M. 18.30).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNX111,JACKSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 85 OVER INDIAN CREEK (L.M. 4.77).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX325,LOUDON,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-40 OVER S.R. 95 AND U.S. 321 (S.R. 73) (L.M. 0.57).,0.0,MILES,False,False,True,False,False,False,False,False,True,True,True
CNW018,CUMBERLAND,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 127 (S.R. 28) OVER BYRDS CREEK (L.M. 10.69) AND THREE MILE CREEK (L.M. 11.08).,0.05,MILES,False,False,True,False,False,False,False,False,False,True,True
CNS003,ROANE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 27 (S.R. 61) OVER CANEY CREEK (L.M. 5.17) IN HARRIMAN.,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNP269,TROUSDALE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 260 OVER LITTLE GOOSE CREEK (LM 5.58).,0.059,MILES,False,False,True,False,False,False,False,False,False,False,True
CNP267,STEWART,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 233 OVER WELLS CREEK (L.M. 6.67).,0.098,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX109,WARREN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 136 OVER THE CANEY FORK RIVER (L.M. 1.99).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX295,WILLIAMSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 96 OVER I-65 (L.M. 13.11).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNP251,HUMPHREYS,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON DUPONT ACCESS ROAD OVER THE CSX RAILROAD (L.M. 0.22).,0.053,MILES,False,False,True,False,False,False,False,False,False,False,False
CNP270,HUMPHREYS,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON BAKERVILLE ROAD OVER THE BUFFALO RIVER (L.M. 4.10).,0.257,MILES,False,False,True,False,False,False,False,False,False,False,False
CNR289,SHELBY,1,False,Bridge Work,THE REPAIR OF BRIDGES ON EASTMORELAND AVENUE OVER I-240 (L.M. 0.36) AND ON U.S. 51 (S.R. 3) OVER THE WOLF RIVER (L.M. 15.25).,0.0,MILES,False,False,True,False,False,False,False,False,True,True,True
CNV185,RUTHERFORD,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-840 OVER THE EAST FORK OF THE STONES RIVER (L.M. 15.42).,0.72,MILES,False,False,True,False,False,False,False,False,True,False,False
CNR079,MONROE,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 11 (S.R. 2) OVER SWEETWATER CREEK (L.M. 5.04) AND NORFOLK SOUTHERN RAILWAY (L.M. 5.16).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNR284,CLAY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 53 OVER THE OBEY RIVER (L.M. 8.89).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV904,WILLIAMSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-40 OVER COUNTY LINE ROAD (L.M. 0.02).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT284,CHEATHAM,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 249 OVER I-24 (L.M. 26.02).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNT022,KNOX,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 11W (S.R. 1) OVER THE NORFOLK SOUTHERN RAILROAD (L.M. 25.47).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT300,SMITH,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 53 OVER MULHERRIN CREEK (L.M. 7.18).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT285,WILSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 231 (S.R. 10) OVER TOWN CREEK (L.M. 13.56) IN LEBANON.,0.08,MILES,False,False,True,False,False,False,False,False,False,True,True
CNP242,UNICOI,1,False,Bridge Work,"THE REPAIR OF THE BRIDGES ON I-26 OVER GARLAND ROAD (L.M. 1.25, EB AND WB).",0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNV123,CAMPBELL,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 90 OVER THE CSX RAILROAD (L.M. 0.03) AND BIG HICKORY CREEK (L.M. 0.18).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNP248,SHELBY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 176 OVER WINCHESTER ROAD (L.M. 4.00).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNU195,TROUSDALE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER THE CUMBERLAND RIVER (L.M. 6.25).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV014,DYER,1,False,Bridge Work,"THE REPAIR OF BRIDGES ON U.S. 412 (S.R. 20) OVER S.R. 104 (L.M. 2.93), LEWIS CREEK (L.M. 3.47) AND OVERFLOW (L.M. 5.43), AND ON S.R. 210 OVER U.S. 412 (S.R. 20) (L.M. 6.69).",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNW282,MCMINN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 163 OVER CHESTUEE CREEK (L.M. 11.74).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT003,ANDERSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 61 OVER NORFOLK SOUTHERN RAILWAY AND MARKET STREET/EAGLE BEND ROAD (L.M. 15.67) IN CLINTON.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX318,GREENE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 70 OVER THE NOLICHUCKY RIVER (L.M. 8.50).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNP168,WILLIAMSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 31A (S.R. 11) OVER BRANCHES (L.M. 0.59 AND L.M. 0.87).,0.094,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS159,ROANE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON WARRIOR DRIVE OVER I-40 (L.M. 1.20) IN HARRIMAN.,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNW035,SULLIVAN,1,False,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 93 OVER SHIPLEY STREET (L.M. 9.65) IN KINGSPORT.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT256,GRUNDY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 50 OVER I-24 (L.M. 0.27).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNT243,OVERTON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 294 OVER BIG EAGLE CREEK (L.M. 1.39).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT262,SHELBY,1,False,Bridge Work,THE REPAIR OF THE ICG RAILROAD BRIDGE OVER I-55 (L.M. 7.23).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNW006,SCOTT,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 27 (S.R. 29) OVER WEBB CREEK (L.M. 1.63) AND NEW RIVER (L.M. 8.91).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT247,SHELBY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON PERKINS ROAD OVER I-240 (L.M. 3.07) IN MEMPHIS.,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT246,SHELBY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 205 OVER BIG CREEK DRAINAGE DITCH (L.M. 1.06).,0.0,MILES,False,True,True,False,False,False,False,False,False,False,True
CNT260,SMITH,1,False,Bridge Work,THE REPAIR OF THE I-40 WB BRIDGE OVER THE CANEY FORK RIVER AT M.M. 263.10 (L.M. 12.99).,0.091,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT263,WILSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 EB OVER U.S. 70 (S.R. 26) (L.M. 16.82).,0.0,MILES,False,False,True,False,False,False,False,False,True,True,True
CNT908,CHEATHAM,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON BEECH HILL ROAD OVER I-40 (L.M. 0.96).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNW021,MADISON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 45BP (S.R. 186) OVER HOLLYWOOD DRIVE/KEITH SHORT BYPASS (L.M. 1.55) AND ON U.S. 70 (S.R. 1) OVER OVERFLOW (L.M. 12.30).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNR924,GREENE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 172 OVER LICK CREEK (L.M. 9.90).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNZ227,FAYETTE,1,False,Bridge Work,THE REPAIR OF BRIDGES ON I-269 OVER S.R. 57 (L.M. 1.23).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,True
CNT129,DAVIDSON,1,False,Bridge Work,"THE REPAIR OF BRIDGES ON I-24 OVER U.S. 31E (S.R. 6, MAIN STREET) (L.M. 14.46), OVER WOODLAND STREET (L.M. 14.54) AND OVER THE CUMBERLAND RIVER (L.M. 15.23).",0.11,MILES,False,False,True,False,False,False,False,False,True,False,True
CNR031,HAMILTON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON I-24 OVER CHESTNUT STREET AND THE CSX RAILROAD AND MISCELLANEOUS SAFETY IMPROVEMENTS ON I-24 BRIDGES OVER CSX RAILROAD AND I-124.,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNT095,FENTRESS,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 127 (S.R. 28) OVER THE WOLF RIVER (L.M. 29.40).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT096,HAMILTON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 111 ON THE RAMP OVER U.S. 27 (S.R. 29) (L.M. 0.02) AND OVER U.S. 27SB (S.R. 29SB) (L.M. 0.15).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT103,MEIGS,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 58 OVER THE HIWASSEE RIVER (L.M. 5.22).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX911,KNOX,1,False,Bridge Work,"THE REPAIR OF THE BRIDGE ON I-40 OVER U.S. 11E (U.S. 70, S.R. 9, ASHEVILLE HIGHWAY) (L.M. 25.09).",0.0,MILES,False,False,True,False,False,False,False,False,True,True,True
CNS307,WILSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 70 (S.R. 26) OVER SINKING CREEK (L.M. 2.33) IN LEBANON.,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT110,WHITE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER THE CALFKILLER RIVER (L.M. 9.35) IN SPARTA.,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNS314,WEAKLEY,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 45E (S.R. 43) OVER OVERFLOW (L.M. 20.50).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS305,ROBERTSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 161 OVER THE RED RIVER (L.M. 9.60).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS316,LAUDERDALE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 210 OVER THE SOUTH FORK FORKED DEER RIVER (L.M. 3.38).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNW265,SULLIVAN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 93 OVER THE SOUTH FORK HOLSTON RIVER AND PLANT ROAD (L.M. 7.82).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNX317,ANDERSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-75 OVER THE CLINCH RIVER (L.M. 8.28).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNR015,SHELBY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 OVER THE WOLF RIVER (L.M. 9.42 LEFT LANE).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNR056,SULLIVAN,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 357 OVER S.R. 75 (L.M. 0.00).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
