contract_number,county,num_counties,multi_county,work_type,road_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_paving,has_guardrail,has_signs,has_lighting,has_signals,has_pavement_marking,has_barrier,has_concrete,has_mowing,has_chip_seal,has_crack_seal,is_on_call,is_emergency
CNY162,LOUDON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-75 OVER THE TENNESSEE RIVER (L.M. 7.55).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY097,FRANKLIN,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGES ON U.S. 64 (S.R. 50) OVER OLD ALTO HIGHWAY (L.M. 16.93).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY015,CAMPBELL,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGES ON U.S. 25W (S.R. 9) OVER COVE LAKE (L.M. 31.35 AND L.M. 31.79).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY037,DAVIDSON,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 100 OVER THE HARPETH RIVER (L.M. 7.36).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY068,FRANKLIN,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE ON OLD DECHERD ROAD OVER WAGNER CREEK (L.M. 0.25), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.146,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY065,HUMPHREYS,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 13 OVER HURRICANE CREEK (L.M. 11.42).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY031,MACON,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON HOOT OWL LANE OVER MIDDLE FORK GOOSE CREEK (L.M. 0.06), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.047,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY066,PUTNAM,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON U.S. 70N (S.R. 24) OVER FALLING WATER RIVER (L.M. 24.42).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY036,ROBERTSON,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 76 OVER THE CSX RAILROAD (L.M. 4.65).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS084,SHELBY,1,0,Bridge Work,US,"THE REPAIR OF BRIDGES ON S.R. 385 OVER LONG ROAD (L.M. 10.48 AND L.M. 11.94) AND ON U.S. 70 (U.S. 79, S.R. 1) OVER OVERFLOW (L.M. 29.97).",0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS085,SHELBY,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGES ON I-240 OVER KERR AVENUE (L.M. 3.09).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS049,MONROE,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON RABY ROAD OVER I-75 (L.M. 2.79).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY316,HAMILTON,1,0,Bridge Work,Interstate,THE REPAIR OF BRIDGES ON I-24 OVER MISSIONARY RIDGE RAVINE (L.M. 11.07 AND L.M. 11.13).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS028,MAURY,1,0,Bridge Work,Other,THE REPAIR OF THE BRIDGE ON S.R 247 OVER LEIPERS CREEK (L.M. 1.05).,0.057,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS048,JEFFERSON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON BELL ROAD OVER I-81 (L.M. 0.54).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY179,CLAY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 52 OVER THE CUMBERLAND RIVER (L.M. 19.32).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS032,HUMPHREYS,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON DUPONT ACCESS ROAD OVER THE C.S.X. RAILROAD (L.M. 0.22) IN NEW JOHNSONVILLE, INCLUDING GRADING, DRAINAGE AND PAVING.",0.061,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY062,CUMBERLAND,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON S.R. 299 OVER I-40 (L.M. 2.79).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS081,DYER,1,0,Bridge Work,US,THE REPAIR OF BRIDGES ON U.S. 412 (S.R. 20) OVER LEWIS CREEK (L.M. 2.24).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ903,UNICOI,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BOX BEAM OR WELDED PLATE GIRDER BRIDGE ON S.R. 107 (UNICOI DRIVE) OVER NORTH INDIAN CREEK (L.M. 5.22) IN ERWIN, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.165,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNU293,SHELBY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 14 OVER THE OVERFLOW OF THE WOLF RIVER (L.M. 20.13).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY229,PERRY,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON SOUTH MILL STREET OVER THE BUFFALO RIVER (L.M. 0.22) IN LINDEN, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.218,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNZ019,MAURY,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON LAWRENCEBURG HIGHWAY OVER TENNESSEE SOUTHERN RAILROAD (L.M. 3.18), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.17,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY099,MEIGS,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON W MEMORIAL DRIVE OVER DECATUR BRANCH (L.M. 0.37) IN DECATUR, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.047,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNZ125,GREENE,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 351 OVER THE NOLICHUCKY RIVER (L.M. 16.17).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNQ930,FRANKLIN,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGES ON S.R. 476 OVER THE ELK RIVER (L.M. 3.39) AND HURRICANE CREEK (L.M. 7.40).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ058,LINCOLN,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON KIDD LANE OVER THE ELK RIVER (L.M. 2.00), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.78,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNQ931,SHELBY,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON S.R. 385 OVER I-240 (L.M. 0.09).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNQ228,CARROLL,1,0,Bridge Work,Other,THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON AUCTION LANE OVER THE RUTHERFORD FORK OBION RIVER (L.M. 1.24).,0.099,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ029,COFFEE,1,0,Bridge Work,Interstate,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON WATTENDORF MEMORIAL HIGHWAY/AEDC ROAD OVER I-24 (L.M. 7.67), INCLUDING GRADING, DRAINAGE, RETAINING WALLS, AND PAVING.",0.554,MILES,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CNQ283,FAYETTE,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 64 (S.R. 15) OVER HOWELL CREEK (L.M. 19.55).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNR284,CLAY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 53 OVER THE OBEY RIVER (L.M. 8.89).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNR079,MONROE,1,0,Bridge Work,US,THE REPAIR OF BRIDGES ON U.S. 11 (S.R. 2) OVER SWEETWATER CREEK (L.M. 5.04) AND NORFOLK SOUTHERN RAILWAY (L.M. 5.16).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNR289,SHELBY,1,0,Bridge Work,Interstate,THE REPAIR OF BRIDGES ON EASTMORELAND AVENUE OVER I-240 (L.M. 0.36) AND ON U.S. 51 (S.R. 3) OVER THE WOLF RIVER (L.M. 15.25).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT901,FENTRESS,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE SLAB BRIDGE ON VINES RIDGE ROAD OVER BIG LAUREL CREEK (L.M. 1.06) AND A CONCRETE BOX BRIDGE ON ROTTEN FORK ROAD OVER THE ROTTEN FORK OF THE WOLF RIVER (L.M. 0.13), INCLUDING APPROACHES.",0.329,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT908,CHEATHAM,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON BEECH HILL ROAD OVER I-40 (L.M. 0.96).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT263,WILSON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-40 EB OVER U.S. 70 (S.R. 26) (L.M. 16.82).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT260,SMITH,1,0,Bridge Work,Interstate,THE REPAIR OF THE I-40 WB BRIDGE OVER THE CANEY FORK RIVER AT M.M. 263.10 (L.M. 12.99).,0.091,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNP301,WILSON,1,0,Bridge Work,Other,THE REPAIR OF THE BRIDGE ON CEDAR FOREST ROAD OVER HURRICANE CREEK (L.M. 8.62) IN CEDARS OF LEBANON STATE PARK.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNP302,WHITE,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 84 OVER CALFKILLER RIVER (L.M. 1.58).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ191,GREENE,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGES ON U.S. 11E (S.R. 34) OVER SNAPPS FERRY ROAD AND NFS RAILWAY (L.M. 17.25).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS946,FAYETTE,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-40 OVER THE LOOSAHATCHIE RIVER (L.M. 2.57).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ186,HAMILTON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-75 OVER BRANCH (L.M. 4.13).,0.383,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ180,ROANE,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON LAWNVILLE ROAD OVER I-40 (L.M. 1.70).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT103,MEIGS,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 58 OVER THE HIWASSEE RIVER (L.M. 5.22).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU299,WILSON,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 266 OVER JUG CREEK (L.M. 4.60).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY217,SHELBY,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-40 OVER THE MISSISSIPPI RIVER (L.M. 0.00).,0.17,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD2403,CARTER,1,0,Bridge Work,State,THE EMERGENCY BRIDGE REPAIR OVER THE DOE RIVER ON S.R. 67 (L.M. 7.1) IN CARTER COUNTY.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNU115,DAVIDSON AND SUMNER,2,1,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON OLD SHILOH ROAD OVER MANSKER CREEK (L.M. 0.01) IN NASHVILLE, INCLUDING GRADING, DRAINAGE AND PAVING.",0.094,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNU189,GRUNDY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 108 OVER PINEY CREEK (L.M. 18.20).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ266,TROUSDALE,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER LITTLE GOOSE CREEK (L.M. 4.82).,0.122,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ260,SULLIVAN,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON WESTFIELD DRIVE OVER I-26 (L.M. 0.05).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU161,MADISON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGES ON I-40 OVER U.S. 412 (S.R. 20) (L.M. 12.01) IN JACKSON.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU195,TROUSDALE,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER THE CUMBERLAND RIVER (L.M. 6.25).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ261,MORGAN,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 62 OVER LITTLE CLEAR CREEK (L.M. 13.77).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ250,JACKSON,1,0,Bridge Work,State,THE CONSTRUCTION OF A PRECAST CONCRETE BOX BRIDGE ON S.R. 53 NEAR L.M. 17.56.,0.127,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ267,HAMILTON,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON S.R. 320 (EAST BRAINERD ROAD) OVER THE CSX RAILROAD (L.M. 0.86) IN CHATTANOOGA, INCLUDING GRADING, DRAINAGE, RETAINING WALL, AND PAVING.",0.247,MILES,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CNT095,FENTRESS,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 127 (S.R. 28) OVER THE WOLF RIVER (L.M. 29.40).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ252,COCKE,1,0,Bridge Work,US,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON U.S. 25 (S.R. 9) OVER BRANCH (L.M. 21.43), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.18,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNZ278,CARTER,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON GAP CREEK ROAD OVER GAP CREEK (L.M. 2.73), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.111,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNT129,DAVIDSON,1,0,Bridge Work,Interstate,"THE REPAIR OF BRIDGES ON I-24 OVER U.S. 31E (S.R. 6, MAIN STREET) (L.M. 14.46), OVER WOODLAND STREET (L.M. 14.54) AND OVER THE CUMBERLAND RIVER (L.M. 15.23).",0.11,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ178,ROANE,1,0,Bridge Work,US,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON U.S. 27 (S.R. 29) OVER U.S. 27 (S.R. 29)/S.R. 61 (L.M. 12.10), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.286,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNT246,SHELBY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 205 OVER BIG CREEK DRAINAGE DITCH (L.M. 1.06).,0.0,MILES,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS334,POLK,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON TOWN CREEK ROAD OVER FOURMILE CREEK IN BENTON, INCLUDING GRADING, DRAINAGE AND PAVING.",0.07,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNS369,ROBERTSON,1,0,Bridge Work,State,THE REHABILITATION OF BRIDGES USING FULL DEPTH CONCRETE DECK PANELS ON S.R. 49 OVER MILLERS CREEK (L.M. 3.52) AND CALEBS CREEK (L.M. 4.93) IN COOPERTOWN.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN236,CAMPBELL,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON STINKING CREEK ROAD OVER I-75 (L.M. 16.36).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU046,HAMILTON,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 27 (S.R. 29) OVER BIG SODDY CREEK (L.M. 20.58).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN117,CUMBERLAND,1,0,Bridge Work,Interstate,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 298 (GENESIS ROAD) OVER I-40 (L.M. 2.23) IN CROSSVILLE, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.395,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNN152,CHEATHAM,1,0,Bridge Work,Interstate,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON I-40 OVER THE HARPETH RIVER (L.M. 5.63), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.611,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNU062,HARDIN,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 69 OVER DOE CREEK (L.M. 10.06), INCLUDING GRADING, DRAINAGE AND PAVING.",0.639,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNW021,MADISON,1,0,Bridge Work,US,THE REPAIR OF BRIDGES ON U.S. 45BP (S.R. 186) OVER HOLLYWOOD DRIVE/KEITH SHORT BYPASS (L.M. 1.55) AND ON U.S. 70 (S.R. 1) OVER OVERFLOW (L.M. 12.30).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNW012,MAURY,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON ASHWOOD ROAD OVER BIG BIGBY CREEK (L.M. 1.31), INCLUDING GRADING, DRAINAGE AND PAVING.",0.127,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNN002,COFFEE,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGES ON U.S. 41 (S.R. 2) OVER THE LITTLE DUCK RIVER (L.M. 13.68 L & R).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNW052,MORGAN,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE ON WMA ROAD OVER ISLAND CREEK (L.M. 10.27) INCLUDING GRADING, DRAINAGE AND PAVING.",0.071,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNW006,SCOTT,1,0,Bridge Work,US,THE REPAIR OF BRIDGES ON U.S. 27 (S.R. 29) OVER WEBB CREEK (L.M. 1.63) AND NEW RIVER (L.M. 8.91).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU150,SMITH,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON OLD S.R. 25 OVER THE CUMBERLAND RIVER (L.M. 0.05).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNW035,SULLIVAN,1,0,Bridge Work,State,THE REPAIR OF BRIDGES ON S.R. 93 OVER SHIPLEY STREET (L.M. 9.65) IN KINGSPORT.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
